Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.794,2.663,0.131,2.557,2.02,2.117,0.596
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-0.264,1.465,-1.729,71.614,71.979,13.611,0.982
SWCF global ceres_ebaf_toa_v4.1,W m-2,-46.148,-42.459,-3.689,27.425,21.794,20.214,0.696
LWCF global ceres_ebaf_toa_v4.1,W m-2,30.778,26.065,4.713,13.12,11.6,12.332,0.581
U-850mb global ERA-Interim,m s-1,0.616,1.009,-0.393,6.21,5.42,2.569,0.914
U-200mb global ERA-Interim,m s-1,18.899,17.089,1.81,14.943,12.064,6.103,0.929
PSL global ERA-Interim,mbar,1011.715,1011.337,0.379,7.419,8.029,3.027,0.927
PSL global ERA5,mbar,1011.715,1011.414,0.301,7.419,7.987,2.958,0.93
U-850mb global ERA5,m s-1,0.616,0.982,-0.366,6.21,5.452,2.566,0.914
U-200mb global ERA5,m s-1,18.899,17.059,1.84,14.943,11.997,6.166,0.928
TREFHT land ERA-Interim,DegC,7.94,8.739,-0.799,19.485,20.184,3.064,0.989
TREFHT global ERA-Interim,DegC,13.761,14.364,-0.603,14.655,15.031,2.265,0.99
TREFHT land ERA5,DegC,7.94,8.551,-0.611,19.485,20.276,3.105,0.989
TREFHT global ERA5,DegC,13.761,14.237,-0.476,14.655,14.923,2.227,0.989
