Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.762,2.686,0.076,2.696,2.165,1.798,0.748
RESTOM global ceres_ebaf_toa_v4.1,W m-2,1.603,2.0,-0.397,71.891,73.662,15.502,0.978
SWCF global ceres_ebaf_toa_v4.1,W m-2,-48.959,-46.397,-2.562,33.628,25.665,20.543,0.796
LWCF global ceres_ebaf_toa_v4.1,W m-2,29.599,25.671,3.928,14.307,12.202,10.762,0.725
U-850mb global ERA-Interim,m s-1,0.65,1.172,-0.523,6.321,5.603,2.666,0.912
U-200mb global ERA-Interim,m s-1,17.593,15.732,1.861,14.81,13.147,5.374,0.942
PSL global ERA-Interim,mbar,1011.628,1011.254,0.373,8.383,8.892,3.439,0.923
PSL global ERA5,mbar,1011.628,1011.349,0.279,8.383,8.785,3.358,0.925
U-850mb global ERA5,m s-1,0.65,1.154,-0.504,6.321,5.588,2.687,0.91
U-200mb global ERA5,m s-1,17.593,15.696,1.897,14.81,13.063,5.467,0.94
TREFHT land ERA-Interim,DegC,9.402,9.438,-0.036,18.828,18.832,2.43,0.992
TREFHT global ERA-Interim,DegC,14.0,14.455,-0.455,14.169,14.173,1.859,0.992
TREFHT land ERA5,DegC,9.402,9.103,0.298,18.828,19.207,2.586,0.991
TREFHT global ERA5,DegC,14.0,14.284,-0.283,14.169,14.208,1.889,0.991
