Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.021,2.691,0.331,2.48,1.887,1.549,0.793
TREFHT land_60S90N CRU,DegC,12.364,12.802,-0.438,12.594,13.053,2.595,0.981
RESTOM global ceres_ebaf_toa_v4.1,W m-2,1.106,0.916,0.19,55.597,55.962,9.108,0.987
SWCF global ceres_ebaf_toa_v4.1,W m-2,-47.372,-45.313,-2.059,22.411,20.091,11.88,0.854
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.74,25.813,-1.073,11.255,10.958,6.237,0.847
U-850mb global ERA-Interim,m s-1,0.81,1.098,-0.288,5.414,5.399,1.168,0.979
U-200mb global ERA-Interim,m s-1,16.053,15.687,0.366,12.955,12.316,2.687,0.979
Z3-500mb global ERA-Interim,hectometer,56.159,56.618,-0.459,2.385,2.575,0.516,0.998
PSL global ERA-Interim,mbar,1011.748,1011.301,0.448,7.685,8.142,2.529,0.952
PSL global ERA5,mbar,1011.748,1011.387,0.362,7.685,8.065,2.345,0.958
U-850mb global ERA5,m s-1,0.81,1.082,-0.273,5.414,5.411,1.174,0.979
U-200mb global ERA5,m s-1,16.053,15.655,0.398,12.955,12.247,2.713,0.979
Z3-500mb global ERA5,hectometer,56.159,56.608,-0.448,2.385,2.566,0.504,0.998
TREFHT land ERA-Interim,DegC,7.732,8.806,-1.074,19.135,18.695,2.712,0.993
TREFHT global ERA-Interim,DegC,13.939,14.414,-0.475,14.248,14.116,1.645,0.994
TREFHT land ERA5,DegC,7.732,8.857,-1.125,19.135,18.898,2.537,0.993
TREFHT global ERA5,DegC,13.939,14.27,-0.331,14.248,14.117,1.554,0.994
