Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.016,2.699,0.316,3.086,2.315,1.878,0.802
TREFHT land_60S90N CRU,DegC,4.131,5.131,-1.0,19.586,20.052,3.432,0.988
RESTOM global ceres_ebaf_toa_v4.1,W m-2,8.119,7.931,0.188,96.83,95.876,12.148,0.992
SWCF global ceres_ebaf_toa_v4.1,W m-2,-50.903,-49.23,-1.673,37.693,36.875,14.168,0.929
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.172,25.835,-1.664,14.815,14.268,7.295,0.881
U-850mb global ERA-Interim,m s-1,0.713,1.069,-0.356,5.987,5.797,1.571,0.968
U-200mb global ERA-Interim,m s-1,16.639,16.981,-0.342,15.634,14.763,2.867,0.984
Z3-500mb global ERA-Interim,hectometer,55.944,56.403,-0.458,2.5,2.696,0.551,0.996
PSL global ERA-Interim,mbar,1011.99,1011.442,0.548,8.247,8.712,2.479,0.961
PSL global ERA5,mbar,1011.99,1011.537,0.453,8.247,8.593,2.276,0.966
U-850mb global ERA5,m s-1,0.713,1.047,-0.335,5.987,5.826,1.589,0.967
U-200mb global ERA5,m s-1,16.639,16.976,-0.337,15.634,14.671,2.869,0.984
Z3-500mb global ERA5,hectometer,55.944,56.387,-0.442,2.5,2.687,0.533,0.996
TREFHT land ERA-Interim,DegC,1.606,3.084,-1.478,20.459,20.049,3.231,0.992
TREFHT global ERA-Interim,DegC,12.066,12.674,-0.608,16.044,15.888,1.956,0.993
TREFHT land ERA5,DegC,1.606,3.069,-1.463,20.459,20.532,2.94,0.993
TREFHT global ERA5,DegC,12.066,12.497,-0.431,16.044,15.948,1.811,0.994
