Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.017,2.691,0.326,2.436,1.887,1.506,0.798
TREFHT land_60S90N CRU,DegC,12.146,12.802,-0.656,12.761,13.053,2.568,0.983
RESTOM global ceres_ebaf_toa_v4.1,W m-2,1.238,0.916,0.322,55.645,55.962,9.242,0.986
SWCF global ceres_ebaf_toa_v4.1,W m-2,-49.055,-45.313,-3.742,23.06,20.091,12.585,0.854
LWCF global ceres_ebaf_toa_v4.1,W m-2,25.145,25.813,-0.668,11.143,10.958,6.055,0.852
U-850mb global ERA-Interim,m s-1,0.865,1.098,-0.233,5.405,5.399,1.136,0.98
U-200mb global ERA-Interim,m s-1,16.236,15.687,0.549,12.92,12.316,2.836,0.977
Z3-500mb global ERA-Interim,hectometer,56.134,56.618,-0.484,2.405,2.575,0.532,0.998
PSL global ERA-Interim,mbar,1011.761,1011.301,0.46,7.78,8.142,2.464,0.955
PSL global ERA5,mbar,1011.761,1011.387,0.374,7.78,8.065,2.281,0.96
U-850mb global ERA5,m s-1,0.865,1.082,-0.218,5.405,5.411,1.15,0.979
U-200mb global ERA5,m s-1,16.236,15.655,0.581,12.92,12.247,2.864,0.977
Z3-500mb global ERA5,hectometer,56.134,56.608,-0.474,2.405,2.566,0.52,0.998
TREFHT land ERA-Interim,DegC,7.51,8.806,-1.296,19.245,18.695,2.789,0.994
TREFHT global ERA-Interim,DegC,13.791,14.414,-0.623,14.349,14.116,1.666,0.994
TREFHT land ERA5,DegC,7.51,8.857,-1.347,19.245,18.898,2.596,0.994
TREFHT global ERA5,DegC,13.791,14.27,-0.479,14.349,14.117,1.566,0.995
