Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.003,2.699,0.304,3.016,2.315,1.81,0.807
TREFHT land_60S90N CRU,DegC,3.851,5.131,-1.28,19.858,20.052,3.492,0.989
RESTOM global ceres_ebaf_toa_v4.1,W m-2,8.692,7.931,0.761,96.628,95.876,12.553,0.992
SWCF global ceres_ebaf_toa_v4.1,W m-2,-52.332,-49.23,-3.102,38.412,36.875,14.838,0.927
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.541,25.835,-1.294,14.626,14.268,7.138,0.882
U-850mb global ERA-Interim,m s-1,0.764,1.069,-0.305,5.982,5.797,1.542,0.968
U-200mb global ERA-Interim,m s-1,16.904,16.981,-0.077,15.686,14.763,2.849,0.984
Z3-500mb global ERA-Interim,hectometer,55.91,56.403,-0.492,2.532,2.696,0.571,0.996
PSL global ERA-Interim,mbar,1012.003,1011.442,0.561,8.293,8.712,2.46,0.962
PSL global ERA5,mbar,1012.003,1011.537,0.466,8.293,8.593,2.27,0.966
U-850mb global ERA5,m s-1,0.764,1.047,-0.283,5.982,5.826,1.57,0.967
U-200mb global ERA5,m s-1,16.904,16.976,-0.072,15.686,14.671,2.862,0.984
Z3-500mb global ERA5,hectometer,55.91,56.387,-0.476,2.532,2.687,0.553,0.996
TREFHT land ERA-Interim,DegC,1.345,3.084,-1.739,20.673,20.049,3.377,0.993
TREFHT global ERA-Interim,DegC,11.882,12.674,-0.792,16.254,15.888,2.001,0.994
TREFHT land ERA5,DegC,1.345,3.069,-1.724,20.673,20.532,3.078,0.993
TREFHT global ERA5,DegC,11.882,12.497,-0.615,16.254,15.948,1.869,0.994
