Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.055,2.715,0.341,2.942,2.437,1.78,0.805
TREFHT land_60S90N CRU,DegC,19.726,19.684,0.042,8.481,8.147,2.512,0.956
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-5.356,-7.514,2.159,89.025,86.657,13.166,0.989
SWCF global ceres_ebaf_toa_v4.1,W m-2,-46.065,-43.235,-2.83,30.0,29.737,16.198,0.857
LWCF global ceres_ebaf_toa_v4.1,W m-2,25.257,25.668,-0.411,13.932,14.275,7.921,0.843
U-850mb global ERA-Interim,m s-1,0.876,1.14,-0.264,5.584,5.815,1.5,0.969
U-200mb global ERA-Interim,m s-1,14.141,12.972,1.169,15.877,16.055,4.523,0.963
Z3-500mb global ERA-Interim,hectometer,56.386,56.89,-0.505,2.459,2.614,0.568,0.997
PSL global ERA-Interim,mbar,1011.494,1011.174,0.32,8.193,8.533,3.175,0.929
PSL global ERA5,mbar,1011.494,1011.254,0.24,8.193,8.474,3.09,0.932
U-850mb global ERA5,m s-1,0.876,1.147,-0.271,5.584,5.84,1.544,0.967
U-200mb global ERA5,m s-1,14.141,12.915,1.225,15.877,15.99,4.573,0.962
Z3-500mb global ERA5,hectometer,56.386,56.885,-0.499,2.459,2.605,0.562,0.996
TREFHT land ERA-Interim,DegC,13.445,14.277,-0.832,21.598,20.385,2.939,0.994
TREFHT global ERA-Interim,DegC,15.609,16.117,-0.508,14.951,14.298,1.85,0.994
TREFHT land ERA5,DegC,13.445,14.394,-0.95,21.598,20.124,3.039,0.993
TREFHT global ERA5,DegC,15.609,16.01,-0.4,14.951,14.179,1.93,0.993
