Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.004,2.664,0.341,2.675,2.016,1.818,0.745
RESTOM global ceres_ebaf_toa_v4.1,W m-2,1.091,1.445,-0.354,72.291,71.979,11.103,0.988
SWCF global ceres_ebaf_toa_v4.1,W m-2,-47.662,-42.486,-5.176,25.123,21.841,15.18,0.824
LWCF global ceres_ebaf_toa_v4.1,W m-2,25.682,26.073,-0.392,12.652,11.616,8.68,0.748
U-850mb global ERA-Interim,m s-1,0.842,1.009,-0.168,5.56,5.418,1.374,0.97
U-200mb global ERA-Interim,m s-1,17.365,17.09,0.275,14.13,12.063,4.378,0.957
Z3-500mb global ERA-Interim,hectometer,56.091,56.582,-0.49,2.47,2.612,0.559,0.996
PSL global ERA-Interim,mbar,1011.863,1011.336,0.527,7.747,8.028,3.108,0.925
PSL global ERA5,mbar,1011.863,1011.412,0.451,7.747,7.989,2.975,0.931
U-850mb global ERA5,m s-1,0.842,0.981,-0.14,5.56,5.446,1.396,0.969
U-200mb global ERA5,m s-1,17.365,17.06,0.305,14.13,11.996,4.429,0.956
Z3-500mb global ERA5,hectometer,56.091,56.572,-0.481,2.47,2.604,0.548,0.996
TREFHT land ERA-Interim,DegC,6.766,8.514,-1.748,20.706,20.258,3.375,0.992
TREFHT global ERA-Interim,DegC,13.647,14.369,-0.722,15.286,15.025,2.028,0.992
TREFHT land ERA5,DegC,6.766,8.645,-1.879,20.706,20.254,3.28,0.992
TREFHT global ERA5,DegC,13.647,14.245,-0.598,15.286,14.921,1.969,0.993
