Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.013,2.69,0.323,2.263,1.934,1.248,0.846
TREFHT land_60S90N CRU,DegC,13.353,12.828,0.524,13.886,13.049,2.163,0.989
RESTOM global ceres_ebaf_toa_v4.1,W m-2,1.501,0.93,0.571,53.248,55.964,9.251,0.987
SWCF global ceres_ebaf_toa_v4.1,W m-2,-43.436,-45.305,1.87,19.586,20.083,9.387,0.893
LWCF global ceres_ebaf_toa_v4.1,W m-2,22.922,25.814,-2.891,10.554,10.955,6.917,0.83
U-850mb global ERA-Interim,m s-1,0.912,1.097,-0.185,5.317,5.4,1.027,0.983
U-200mb global ERA-Interim,m s-1,16.621,15.687,0.934,12.586,12.316,2.544,0.982
Z3-500mb global ERA-Interim,hectometer,56.611,56.618,-0.007,2.501,2.575,0.138,0.999
PSL global ERA-Interim,mbar,1011.795,1011.302,0.493,7.954,8.142,2.031,0.97
PSL global ERA5,mbar,1011.795,1011.389,0.406,7.954,8.067,2.122,0.966
U-850mb global ERA5,m s-1,0.912,1.082,-0.17,5.317,5.414,1.076,0.981
U-200mb global ERA5,m s-1,16.621,15.654,0.966,12.586,12.247,2.524,0.983
Z3-500mb global ERA5,hectometer,56.611,56.608,0.003,2.501,2.566,0.133,0.999
TREFHT land ERA-Interim,DegC,8.933,8.768,0.165,19.386,18.715,2.36,0.993
TREFHT global ERA-Interim,DegC,14.571,14.411,0.16,14.425,14.114,1.707,0.993
TREFHT land ERA5,DegC,8.933,8.857,0.076,19.386,18.907,2.575,0.991
TREFHT global ERA5,DegC,14.571,14.267,0.304,14.425,14.111,1.83,0.992
