Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.034,2.699,0.334,2.847,2.369,1.507,0.857
TREFHT land_60S90N CRU,DegC,5.142,5.186,-0.044,21.106,20.062,2.932,0.991
RESTOM global ceres_ebaf_toa_v4.1,W m-2,10.392,7.949,2.444,95.74,95.885,13.613,0.99
SWCF global ceres_ebaf_toa_v4.1,W m-2,-46.284,-49.227,2.943,33.278,36.85,13.122,0.939
LWCF global ceres_ebaf_toa_v4.1,W m-2,22.327,25.834,-3.508,14.056,14.265,8.484,0.851
U-850mb global ERA-Interim,m s-1,0.731,1.068,-0.337,5.677,5.798,1.274,0.978
U-200mb global ERA-Interim,m s-1,17.253,16.981,0.272,16.029,14.764,3.557,0.977
Z3-500mb global ERA-Interim,hectometer,56.395,56.403,-0.008,2.605,2.696,0.194,0.998
PSL global ERA-Interim,mbar,1012.065,1011.442,0.622,8.313,8.711,2.148,0.972
PSL global ERA5,mbar,1012.065,1011.54,0.524,8.313,8.594,2.203,0.969
U-850mb global ERA5,m s-1,0.731,1.047,-0.316,5.677,5.83,1.328,0.977
U-200mb global ERA5,m s-1,17.253,16.975,0.278,16.029,14.671,3.56,0.977
Z3-500mb global ERA5,hectometer,56.395,56.387,0.008,2.605,2.687,0.188,0.998
TREFHT land ERA-Interim,DegC,2.986,3.082,-0.096,21.37,20.046,3.148,0.991
TREFHT global ERA-Interim,DegC,12.736,12.671,0.065,16.673,15.884,2.135,0.993
TREFHT land ERA5,DegC,2.986,3.081,-0.095,21.37,20.518,3.491,0.987
TREFHT global ERA5,DegC,12.736,12.492,0.244,16.673,15.939,2.374,0.991
