Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.004,2.715,0.289,2.894,2.517,1.716,0.813
TREFHT land_60S90N CRU,DegC,21.074,19.674,1.4,8.788,8.142,2.828,0.963
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-6.126,-7.501,1.375,86.392,86.648,11.067,0.992
SWCF global ceres_ebaf_toa_v4.1,W m-2,-40.688,-43.225,2.537,25.982,29.741,13.221,0.9
LWCF global ceres_ebaf_toa_v4.1,W m-2,23.419,25.667,-2.249,14.419,14.264,7.98,0.858
U-850mb global ERA-Interim,m s-1,0.983,1.139,-0.156,5.802,5.817,1.341,0.974
U-200mb global ERA-Interim,m s-1,14.76,12.972,1.788,14.896,16.055,3.94,0.977
Z3-500mb global ERA-Interim,hectometer,56.886,56.89,-0.004,2.529,2.614,0.171,0.998
PSL global ERA-Interim,mbar,1011.507,1011.175,0.332,8.463,8.533,2.608,0.954
PSL global ERA5,mbar,1011.507,1011.255,0.251,8.463,8.477,2.651,0.951
U-850mb global ERA5,m s-1,0.983,1.147,-0.164,5.802,5.844,1.385,0.973
U-200mb global ERA5,m s-1,14.76,12.915,1.845,14.896,15.989,3.999,0.976
Z3-500mb global ERA5,hectometer,56.886,56.885,0.002,2.529,2.605,0.167,0.998
TREFHT land ERA-Interim,DegC,15.01,14.2,0.81,21.019,20.441,2.83,0.992
TREFHT global ERA-Interim,DegC,16.454,16.115,0.339,14.473,14.298,2.086,0.99
TREFHT land ERA5,DegC,15.01,14.378,0.632,21.019,20.152,3.105,0.99
TREFHT global ERA5,DegC,16.454,16.006,0.447,14.473,14.177,2.179,0.989
