Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.975,2.685,0.29,2.675,2.214,1.467,0.843
RESTOM global ceres_ebaf_toa_v4.1,W m-2,3.435,1.986,1.449,72.138,73.678,10.93,0.989
SWCF global ceres_ebaf_toa_v4.1,W m-2,-44.376,-46.393,2.017,25.443,25.674,11.278,0.906
LWCF global ceres_ebaf_toa_v4.1,W m-2,22.854,25.677,-2.823,12.202,12.212,7.716,0.827
U-850mb global ERA-Interim,m s-1,1.002,1.173,-0.171,5.567,5.602,1.249,0.976
U-200mb global ERA-Interim,m s-1,16.696,15.732,0.964,13.03,13.148,2.965,0.977
Z3-500mb global ERA-Interim,hectometer,56.583,56.594,-0.01,2.609,2.691,0.157,0.999
PSL global ERA-Interim,mbar,1011.769,1011.255,0.514,8.72,8.892,2.108,0.973
PSL global ERA5,mbar,1011.769,1011.349,0.42,8.72,8.787,2.178,0.97
U-850mb global ERA5,m s-1,1.002,1.153,-0.152,5.567,5.585,1.307,0.974
U-200mb global ERA5,m s-1,16.696,15.697,0.999,13.03,13.063,2.946,0.977
Z3-500mb global ERA5,hectometer,56.583,56.582,0.001,2.609,2.678,0.151,0.999
TREFHT land ERA-Interim,DegC,9.454,9.189,0.265,19.532,18.925,2.445,0.993
TREFHT global ERA-Interim,DegC,14.634,14.456,0.178,14.352,14.164,1.724,0.993
TREFHT land ERA5,DegC,9.454,9.192,0.262,19.532,19.199,2.691,0.991
TREFHT global ERA5,DegC,14.634,14.288,0.346,14.352,14.202,1.837,0.992
