Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.753,2.69,0.062,1.948,1.934,1.349,0.759
SWCF global ceres_ebaf_toa_v4.1,W m-2,-55.143,-45.313,-9.83,23.911,20.075,16.194,0.843
LWCF global ceres_ebaf_toa_v4.1,W m-2,30.792,25.815,4.977,12.91,10.956,8.81,0.827
U-850mb global ERA-Interim,m s-1,1.024,1.097,-0.072,5.512,5.4,1.654,0.954
U-200mb global ERA-Interim,m s-1,17.38,15.686,1.694,12.325,12.316,4.133,0.953
Z3-500mb global ERA-Interim,hectometer,57.049,56.618,0.43,3.042,2.575,2.317,0.683
PSL global ERA-Interim,mbar,1012.692,1011.302,1.39,8.275,8.142,2.405,0.972
PSL global ERA5,mbar,1012.692,1011.387,1.305,8.275,8.064,2.423,0.969
U-850mb global ERA5,m s-1,1.024,1.079,-0.054,5.512,5.415,1.746,0.949
U-200mb global ERA5,m s-1,17.38,15.654,1.726,12.325,12.247,4.143,0.953
Z3-500mb global ERA5,hectometer,57.049,56.608,0.441,3.042,2.566,2.32,0.682
