Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.737,2.664,0.074,2.16,2.066,1.713,0.673
SWCF global ceres_ebaf_toa_v4.1,W m-2,-51.669,-42.481,-9.188,27.034,21.822,19.163,0.783
LWCF global ceres_ebaf_toa_v4.1,W m-2,30.816,26.075,4.74,13.85,11.61,11.354,0.685
U-850mb global ERA-Interim,m s-1,1.057,1.009,0.049,5.659,5.419,1.963,0.938
U-200mb global ERA-Interim,m s-1,18.349,17.089,1.26,12.251,12.064,4.636,0.933
Z3-500mb global ERA-Interim,hectometer,57.03,56.581,0.449,3.047,2.612,2.322,0.686
PSL global ERA-Interim,mbar,1012.731,1011.337,1.394,8.625,8.028,2.721,0.963
PSL global ERA5,mbar,1012.731,1011.411,1.32,8.625,7.987,2.776,0.96
U-850mb global ERA5,m s-1,1.057,0.978,0.079,5.659,5.451,2.074,0.931
U-200mb global ERA5,m s-1,18.349,17.059,1.29,12.251,11.996,4.662,0.932
Z3-500mb global ERA5,hectometer,57.03,56.572,0.458,3.047,2.604,2.322,0.686
