Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.57,2.682,-0.112,2.033,1.889,1.316,0.779
TREFHT land_60S90N CRU,DegC,14.496,12.919,1.577,12.56,13.043,3.07,0.979
RESTOM global ceres_ebaf_toa_v4.1,W m-2,1.009,0.888,0.122,53.803,55.916,18.122,0.946
U-850mb global ERA-Interim,m s-1,0.833,1.101,-0.268,5.986,5.399,1.55,0.969
U-200mb global ERA-Interim,m s-1,14.763,15.688,-0.925,12.041,12.308,3.252,0.967
Z3-500mb global ERA-Interim,hectometer,56.22,56.619,-0.399,2.556,2.575,0.436,0.998
PSL global ERA-Interim,mbar,1012.911,1011.302,1.608,8.435,8.148,2.51,0.974
PSL global ERA5,mbar,1012.911,1011.391,1.519,8.435,8.07,2.527,0.971
U-850mb global ERA5,m s-1,0.833,1.091,-0.258,5.986,5.408,1.577,0.968
U-200mb global ERA5,m s-1,14.763,15.656,-0.893,12.041,12.239,3.273,0.966
Z3-500mb global ERA5,hectometer,56.22,56.608,-0.389,2.556,2.566,0.426,0.998
TREFHT land ERA-Interim,DegC,10.247,9.038,1.209,18.195,18.687,3.119,0.988
TREFHT global ERA-Interim,DegC,14.295,14.418,-0.123,14.006,14.114,1.978,0.99
TREFHT land ERA5,DegC,10.247,8.965,1.282,18.195,18.916,3.406,0.986
TREFHT global ERA5,DegC,14.295,14.273,0.022,14.006,14.103,2.111,0.989
