Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.525,2.692,-0.167,2.588,2.319,1.587,0.799
TREFHT land_60S90N CRU,DegC,5.741,5.288,0.453,20.237,20.066,3.939,0.981
RESTOM global ceres_ebaf_toa_v4.1,W m-2,10.708,7.94,2.767,99.616,95.897,22.717,0.974
U-850mb global ERA-Interim,m s-1,0.608,1.071,-0.463,6.429,5.797,1.989,0.955
U-200mb global ERA-Interim,m s-1,15.746,16.983,-1.237,15.237,14.749,4.541,0.958
Z3-500mb global ERA-Interim,hectometer,55.96,56.404,-0.444,2.649,2.695,0.59,0.99
PSL global ERA-Interim,mbar,1013.25,1011.442,1.807,9.554,8.717,3.67,0.943
PSL global ERA5,mbar,1013.25,1011.541,1.709,9.554,8.598,3.654,0.942
U-850mb global ERA5,m s-1,0.608,1.052,-0.444,6.429,5.825,2.01,0.954
U-200mb global ERA5,m s-1,15.746,16.977,-1.231,15.237,14.656,4.539,0.958
Z3-500mb global ERA5,hectometer,55.96,56.388,-0.428,2.649,2.687,0.575,0.99
TREFHT land ERA-Interim,DegC,3.496,3.352,0.144,20.753,20.116,4.059,0.981
TREFHT global ERA-Interim,DegC,12.126,12.677,-0.551,16.548,15.877,3.05,0.984
TREFHT land ERA5,DegC,3.496,3.175,0.321,20.753,20.559,4.259,0.979
TREFHT global ERA5,DegC,12.126,12.497,-0.371,16.548,15.929,3.177,0.982
