Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.654,2.701,-0.047,2.81,2.425,1.923,0.74
TREFHT land_60S90N CRU,DegC,22.804,19.751,3.053,7.835,8.1,4.698,0.904
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-8.664,-7.567,-1.096,90.327,86.62,25.446,0.96
U-850mb global ERA-Interim,m s-1,1.175,1.143,0.032,6.773,5.814,2.369,0.94
U-200mb global ERA-Interim,m s-1,10.982,12.974,-1.992,17.929,16.05,5.153,0.967
Z3-500mb global ERA-Interim,hectometer,56.5,56.891,-0.391,2.729,2.615,0.487,0.995
PSL global ERA-Interim,mbar,1012.511,1011.18,1.331,9.537,8.539,3.547,0.94
PSL global ERA5,mbar,1012.511,1011.263,1.248,9.537,8.477,3.547,0.939
U-850mb global ERA5,m s-1,1.175,1.158,0.017,6.773,5.836,2.42,0.937
U-200mb global ERA5,m s-1,10.982,12.917,-1.935,17.929,15.985,5.211,0.966
Z3-500mb global ERA5,hectometer,56.5,56.885,-0.385,2.729,2.606,0.486,0.995
TREFHT land ERA-Interim,DegC,16.986,14.464,2.522,20.002,20.286,4.332,0.985
TREFHT global ERA-Interim,DegC,16.329,16.122,0.206,14.719,14.305,2.916,0.98
TREFHT land ERA5,DegC,16.986,14.498,2.488,20.002,20.12,4.499,0.982
TREFHT global ERA5,DegC,16.329,16.015,0.314,14.719,14.174,3.061,0.978
