Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.584,2.659,-0.075,2.204,2.021,1.521,0.745
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-0.876,1.427,-2.303,71.692,71.934,19.125,0.965
U-850mb global ERA-Interim,m s-1,0.798,1.013,-0.215,5.946,5.417,1.611,0.965
U-200mb global ERA-Interim,m s-1,17.08,17.091,-0.011,10.653,12.063,3.782,0.952
Z3-500mb global ERA-Interim,hectometer,56.177,56.582,-0.405,2.628,2.612,0.455,0.997
PSL global ERA-Interim,mbar,1012.983,1011.333,1.65,8.405,8.033,2.722,0.966
PSL global ERA5,mbar,1012.983,1011.412,1.571,8.405,7.992,2.758,0.963
U-850mb global ERA5,m s-1,0.798,0.991,-0.193,5.946,5.441,1.649,0.963
U-200mb global ERA5,m s-1,17.08,17.06,0.02,10.653,11.997,3.757,0.952
Z3-500mb global ERA5,hectometer,56.177,56.572,-0.396,2.628,2.604,0.446,0.997
TREFHT land ERA-Interim,DegC,9.571,8.755,0.815,19.527,20.254,3.708,0.984
TREFHT global ERA-Interim,DegC,14.173,14.377,-0.204,14.813,15.023,2.28,0.989
TREFHT land ERA5,DegC,9.571,8.751,0.82,19.527,20.275,3.937,0.982
TREFHT global ERA5,DegC,14.173,14.251,-0.078,14.813,14.907,2.396,0.987
