Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.164,2.69,0.474,2.164,1.934,1.056,0.9
TREFHT land_60S90N CRU,DegC,15.771,12.812,2.959,13.129,13.064,3.854,0.981
RESTOM global ceres_ebaf_toa_v4.1,W m-2,1.546,0.926,0.62,48.33,55.948,12.637,0.981
SWCF global ceres_ebaf_toa_v4.1,W m-2,-59.719,-45.303,-14.415,23.985,20.094,20.431,0.798
LWCF global ceres_ebaf_toa_v4.1,W m-2,29.473,25.814,3.659,10.197,10.953,5.286,0.937
U-850mb global ERA-Interim,m s-1,0.73,1.097,-0.367,5.059,5.4,1.29,0.976
U-200mb global ERA-Interim,m s-1,15.749,15.687,0.062,12.167,12.315,2.68,0.976
Z3-500mb global ERA-Interim,hectometer,56.403,56.618,-0.216,2.319,2.575,0.373,0.998
PSL global ERA-Interim,mbar,1008.505,1011.302,-2.797,7.395,8.142,3.379,0.975
PSL global ERA5,mbar,1008.505,1011.389,-2.884,7.395,8.066,3.466,0.973
U-850mb global ERA5,m s-1,0.73,1.082,-0.352,5.059,5.412,1.284,0.976
U-200mb global ERA5,m s-1,15.749,15.655,0.094,12.167,12.246,2.666,0.976
Z3-500mb global ERA5,hectometer,56.403,56.608,-0.205,2.319,2.566,0.36,0.998
TREFHT land ERA-Interim,DegC,11.69,8.852,2.838,18.259,18.708,3.514,0.992
TREFHT global ERA-Interim,DegC,15.761,14.411,1.35,13.238,14.113,2.693,0.988
TREFHT land ERA5,DegC,11.69,8.877,2.813,18.259,18.863,3.894,0.989
TREFHT global ERA5,DegC,15.761,14.269,1.492,13.238,14.105,2.833,0.986
