Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.12,2.699,0.421,2.909,2.369,1.504,0.87
TREFHT land_60S90N CRU,DegC,7.677,5.168,2.509,19.435,20.083,3.889,0.987
RESTOM global ceres_ebaf_toa_v4.1,W m-2,8.997,7.95,1.047,90.625,95.889,16.798,0.985
SWCF global ceres_ebaf_toa_v4.1,W m-2,-63.011,-49.211,-13.8,42.755,36.858,21.945,0.919
LWCF global ceres_ebaf_toa_v4.1,W m-2,28.238,25.834,2.405,13.981,14.257,6.104,0.921
U-850mb global ERA-Interim,m s-1,0.738,1.068,-0.33,5.716,5.797,1.538,0.967
U-200mb global ERA-Interim,m s-1,16.02,16.982,-0.961,16.281,14.763,3.715,0.978
Z3-500mb global ERA-Interim,hectometer,56.123,56.403,-0.279,2.471,2.695,0.443,0.995
PSL global ERA-Interim,mbar,1008.624,1011.443,-2.819,8.232,8.712,3.518,0.971
PSL global ERA5,mbar,1008.624,1011.541,-2.917,8.232,8.594,3.64,0.967
U-850mb global ERA5,m s-1,0.738,1.047,-0.309,5.716,5.828,1.527,0.968
U-200mb global ERA5,m s-1,16.02,16.976,-0.956,16.281,14.67,3.759,0.978
Z3-500mb global ERA5,hectometer,56.123,56.387,-0.263,2.471,2.687,0.428,0.995
TREFHT land ERA-Interim,DegC,5.729,3.213,2.516,19.668,20.035,3.703,0.989
TREFHT global ERA-Interim,DegC,13.737,12.671,1.066,15.158,15.886,2.458,0.991
TREFHT land ERA5,DegC,5.729,3.081,2.648,19.668,20.478,4.394,0.985
TREFHT global ERA5,DegC,13.737,12.493,1.245,15.158,15.937,2.786,0.988
