Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.268,2.715,0.553,3.066,2.517,1.616,0.87
TREFHT land_60S90N CRU,DegC,23.625,19.657,3.969,9.387,8.141,5.355,0.93
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-7.506,-7.509,0.003,82.882,86.645,15.614,0.984
SWCF global ceres_ebaf_toa_v4.1,W m-2,-58.175,-43.231,-14.944,36.168,29.754,24.367,0.847
LWCF global ceres_ebaf_toa_v4.1,W m-2,30.043,25.667,4.376,14.1,14.268,7.329,0.914
U-850mb global ERA-Interim,m s-1,0.646,1.139,-0.493,5.578,5.817,1.867,0.953
U-200mb global ERA-Interim,m s-1,13.758,12.972,0.785,16.119,16.055,4.386,0.964
Z3-500mb global ERA-Interim,hectometer,56.775,56.891,-0.115,2.351,2.614,0.402,0.994
PSL global ERA-Interim,mbar,1008.405,1011.175,-2.77,7.475,8.533,3.856,0.952
PSL global ERA5,mbar,1008.405,1011.255,-2.85,7.475,8.477,3.916,0.951
U-850mb global ERA5,m s-1,0.646,1.147,-0.501,5.578,5.842,1.878,0.953
U-200mb global ERA5,m s-1,13.758,12.915,0.842,16.119,15.989,4.395,0.964
Z3-500mb global ERA5,hectometer,56.775,56.885,-0.11,2.351,2.605,0.397,0.993
TREFHT land ERA-Interim,DegC,18.037,14.235,3.802,20.124,20.426,4.754,0.989
TREFHT global ERA-Interim,DegC,17.939,16.115,1.824,13.337,14.295,3.693,0.975
TREFHT land ERA5,DegC,18.037,14.414,3.623,20.124,20.101,4.934,0.986
TREFHT global ERA5,DegC,17.939,16.01,1.928,13.337,14.17,3.745,0.975
