Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.153,2.664,0.489,2.314,2.066,1.27,0.863
RESTOM global ceres_ebaf_toa_v4.1,W m-2,0.949,1.444,-0.495,67.139,71.96,12.547,0.986
SWCF global ceres_ebaf_toa_v4.1,W m-2,-56.592,-42.476,-14.117,26.894,21.846,21.707,0.79
LWCF global ceres_ebaf_toa_v4.1,W m-2,29.915,26.076,3.838,10.621,11.608,6.636,0.885
U-850mb global ERA-Interim,m s-1,0.641,1.009,-0.369,4.993,5.418,1.353,0.974
U-200mb global ERA-Interim,m s-1,17.071,17.09,-0.019,11.642,12.063,3.1,0.966
Z3-500mb global ERA-Interim,hectometer,56.319,56.582,-0.262,2.365,2.612,0.408,0.997
PSL global ERA-Interim,mbar,1008.575,1011.337,-2.762,7.339,8.029,3.438,0.968
PSL global ERA5,mbar,1008.575,1011.414,-2.839,7.339,7.99,3.534,0.966
U-850mb global ERA5,m s-1,0.641,0.981,-0.341,4.993,5.447,1.394,0.972
U-200mb global ERA5,m s-1,17.071,17.06,0.012,11.642,11.996,3.078,0.967
Z3-500mb global ERA5,hectometer,56.319,56.572,-0.253,2.365,2.604,0.396,0.997
TREFHT land ERA-Interim,DegC,10.613,8.576,2.037,20.245,20.267,3.219,0.992
TREFHT global ERA-Interim,DegC,15.465,14.366,1.099,14.505,15.021,2.656,0.987
TREFHT land ERA5,DegC,10.613,8.675,1.938,20.245,20.218,3.522,0.989
TREFHT global ERA5,DegC,15.465,14.244,1.221,14.505,14.909,2.788,0.986
