Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.114,2.685,0.43,2.489,2.214,1.214,0.89
RESTOM global ceres_ebaf_toa_v4.1,W m-2,3.912,1.984,1.928,66.207,73.663,16.685,0.978
SWCF global ceres_ebaf_toa_v4.1,W m-2,-61.176,-46.393,-14.783,29.94,25.685,22.522,0.824
LWCF global ceres_ebaf_toa_v4.1,W m-2,29.673,25.677,3.996,11.51,12.21,6.386,0.913
U-850mb global ERA-Interim,m s-1,0.904,1.173,-0.269,5.452,5.602,1.395,0.971
U-200mb global ERA-Interim,m s-1,16.156,15.732,0.424,12.485,13.147,3.051,0.974
Z3-500mb global ERA-Interim,hectometer,56.387,56.594,-0.206,2.485,2.691,0.33,0.998
PSL global ERA-Interim,mbar,1008.417,1011.255,-2.838,8.803,8.892,3.472,0.974
PSL global ERA5,mbar,1008.417,1011.349,-2.932,8.803,8.786,3.587,0.972
U-850mb global ERA5,m s-1,0.904,1.154,-0.25,5.452,5.583,1.385,0.971
U-200mb global ERA5,m s-1,16.156,15.697,0.459,12.485,13.063,3.038,0.973
Z3-500mb global ERA5,hectometer,56.387,56.583,-0.195,2.485,2.678,0.315,0.998
TREFHT land ERA-Interim,DegC,12.275,9.266,3.008,18.621,18.921,3.614,0.993
TREFHT global ERA-Interim,DegC,15.867,14.456,1.41,13.312,14.164,2.743,0.987
TREFHT land ERA5,DegC,12.275,9.216,3.058,18.621,19.158,4.054,0.99
TREFHT global ERA5,DegC,15.867,14.291,1.576,13.312,14.197,2.889,0.987
