Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.907,2.69,0.216,2.208,1.934,1.526,0.741
TREFHT land_60S90N CRU,DegC,12.175,12.847,-0.672,12.809,13.018,2.055,0.989
SWCF global ceres_ebaf_toa_v4.1,W m-2,-49.472,-45.32,-4.153,21.098,20.085,13.669,0.801
LWCF global ceres_ebaf_toa_v4.1,W m-2,22.156,25.809,-3.652,9.53,10.951,8.433,0.733
U-850mb global ERA-Interim,m s-1,1.053,1.098,-0.045,4.968,5.398,1.253,0.974
U-200mb global ERA-Interim,m s-1,15.827,15.687,0.14,11.949,12.316,2.635,0.977
Z3-500mb global ERA-Interim,hectometer,56.4,56.618,-0.219,2.426,2.575,0.299,0.998
PSL global ERA-Interim,mbar,1011.323,1011.302,0.021,7.938,8.142,1.633,0.98
PSL global ERA5,mbar,1011.323,1011.388,-0.065,7.938,8.066,1.707,0.977
U-850mb global ERA5,m s-1,1.053,1.083,-0.03,4.968,5.409,1.276,0.973
U-200mb global ERA5,m s-1,15.827,15.654,0.172,11.949,12.246,2.651,0.976
Z3-500mb global ERA5,hectometer,56.4,56.608,-0.208,2.426,2.566,0.285,0.999
TREFHT land ERA-Interim,DegC,7.951,8.851,-0.9,18.303,18.709,2.175,0.995
TREFHT global ERA-Interim,DegC,14.105,14.412,-0.307,13.829,14.112,1.856,0.992
TREFHT land ERA5,DegC,7.951,8.82,-0.869,18.303,18.879,2.489,0.993
TREFHT global ERA5,DegC,14.105,14.27,-0.164,13.829,14.101,1.95,0.991
