Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.884,2.699,0.184,3.022,2.369,1.994,0.755
TREFHT land_60S90N CRU,DegC,4.778,5.217,-0.439,19.05,20.045,2.9,0.991
SWCF global ceres_ebaf_toa_v4.1,W m-2,-52.25,-49.233,-3.016,36.881,36.855,15.923,0.91
LWCF global ceres_ebaf_toa_v4.1,W m-2,21.656,25.829,-4.173,13.413,14.261,9.6,0.807
U-850mb global ERA-Interim,m s-1,0.96,1.069,-0.108,5.49,5.797,1.663,0.958
U-200mb global ERA-Interim,m s-1,16.676,16.982,-0.306,15.698,14.763,3.593,0.974
Z3-500mb global ERA-Interim,hectometer,56.212,56.403,-0.191,2.519,2.695,0.34,0.996
PSL global ERA-Interim,mbar,1011.727,1011.443,0.284,8.341,8.712,2.011,0.974
PSL global ERA5,mbar,1011.727,1011.54,0.187,8.341,8.595,1.995,0.973
U-850mb global ERA5,m s-1,0.96,1.047,-0.087,5.49,5.827,1.681,0.958
U-200mb global ERA5,m s-1,16.676,16.976,-0.299,15.698,14.67,3.574,0.975
Z3-500mb global ERA5,hectometer,56.212,56.387,-0.175,2.519,2.687,0.325,0.997
TREFHT land ERA-Interim,DegC,2.171,3.204,-1.033,20.11,20.076,2.63,0.994
TREFHT global ERA-Interim,DegC,12.287,12.672,-0.386,16.122,15.883,1.946,0.993
TREFHT land ERA5,DegC,2.171,3.057,-0.886,20.11,20.497,2.674,0.993
TREFHT global ERA5,DegC,12.287,12.494,-0.208,16.122,15.933,2.024,0.992
