Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.985,2.715,0.27,2.961,2.517,2.093,0.724
TREFHT land_60S90N CRU,DegC,19.035,19.676,-0.642,8.43,8.118,2.287,0.965
SWCF global ceres_ebaf_toa_v4.1,W m-2,-48.49,-43.25,-5.241,33.252,29.761,19.669,0.825
LWCF global ceres_ebaf_toa_v4.1,W m-2,22.571,25.662,-3.091,13.237,14.259,9.771,0.775
U-850mb global ERA-Interim,m s-1,1.073,1.14,-0.067,5.397,5.815,1.764,0.953
U-200mb global ERA-Interim,m s-1,13.14,12.973,0.167,15.956,16.055,3.73,0.973
Z3-500mb global ERA-Interim,hectometer,56.654,56.891,-0.237,2.477,2.614,0.345,0.997
PSL global ERA-Interim,mbar,1010.939,1011.175,-0.236,8.581,8.533,2.503,0.958
PSL global ERA5,mbar,1010.939,1011.254,-0.316,8.581,8.476,2.548,0.956
U-850mb global ERA5,m s-1,1.073,1.148,-0.075,5.397,5.84,1.807,0.951
U-200mb global ERA5,m s-1,13.14,12.915,0.225,15.956,15.988,3.803,0.972
Z3-500mb global ERA5,hectometer,56.654,56.885,-0.231,2.477,2.605,0.338,0.997
TREFHT land ERA-Interim,DegC,13.584,14.243,-0.658,19.202,20.399,2.478,0.994
TREFHT global ERA-Interim,DegC,15.947,16.115,-0.168,13.318,14.294,2.344,0.988
TREFHT land ERA5,DegC,13.584,14.335,-0.751,19.202,20.132,2.772,0.992
TREFHT global ERA5,DegC,15.947,16.011,-0.064,13.318,14.167,2.384,0.987
