Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.895,2.664,0.232,2.342,2.066,1.955,0.618
SWCF global ceres_ebaf_toa_v4.1,W m-2,-47.111,-42.487,-4.624,24.765,21.832,16.948,0.762
LWCF global ceres_ebaf_toa_v4.1,W m-2,22.175,26.071,-3.896,10.272,11.609,10.596,0.6
U-850mb global ERA-Interim,m s-1,1.073,1.01,0.063,5.087,5.417,1.472,0.963
U-200mb global ERA-Interim,m s-1,16.887,17.09,-0.203,11.937,12.063,3.545,0.957
Z3-500mb global ERA-Interim,hectometer,56.361,56.582,-0.221,2.476,2.612,0.317,0.997
PSL global ERA-Interim,mbar,1011.34,1011.337,0.003,7.998,8.029,1.783,0.975
PSL global ERA5,mbar,1011.34,1011.413,-0.074,7.998,7.99,1.888,0.972
U-850mb global ERA5,m s-1,1.073,0.982,0.091,5.087,5.444,1.534,0.96
U-200mb global ERA5,m s-1,16.887,17.059,-0.172,11.937,11.996,3.546,0.956
Z3-500mb global ERA5,hectometer,56.361,56.572,-0.211,2.476,2.604,0.305,0.998
TREFHT land ERA-Interim,DegC,7.552,8.569,-1.017,19.444,20.272,2.944,0.991
TREFHT global ERA-Interim,DegC,14.103,14.367,-0.264,14.61,15.019,2.279,0.989
TREFHT land ERA5,DegC,7.552,8.613,-1.061,19.444,20.239,3.158,0.99
TREFHT global ERA5,DegC,14.103,14.245,-0.141,14.61,14.904,2.363,0.987
