Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.861,2.685,0.177,2.684,2.214,1.606,0.804
SWCF global ceres_ebaf_toa_v4.1,W m-2,-50.099,-46.405,-3.694,25.814,25.686,15.602,0.827
LWCF global ceres_ebaf_toa_v4.1,W m-2,22.215,25.672,-3.457,10.889,12.204,9.049,0.743
U-850mb global ERA-Interim,m s-1,1.103,1.173,-0.07,5.42,5.6,1.29,0.973
U-200mb global ERA-Interim,m s-1,16.63,15.732,0.897,12.434,13.147,3.097,0.975
Z3-500mb global ERA-Interim,hectometer,56.368,56.594,-0.226,2.598,2.691,0.295,0.998
PSL global ERA-Interim,mbar,1011.293,1011.255,0.038,8.913,8.892,1.78,0.98
PSL global ERA5,mbar,1011.293,1011.348,-0.055,8.913,8.786,1.854,0.978
U-850mb global ERA5,m s-1,1.103,1.154,-0.051,5.42,5.581,1.303,0.972
U-200mb global ERA5,m s-1,16.63,15.697,0.933,12.434,13.063,3.144,0.973
Z3-500mb global ERA5,hectometer,56.368,56.583,-0.215,2.598,2.678,0.282,0.998
TREFHT land ERA-Interim,DegC,8.391,9.269,-0.878,18.864,18.92,2.186,0.995
TREFHT global ERA-Interim,DegC,14.049,14.457,-0.408,14.017,14.163,1.812,0.992
TREFHT land ERA5,DegC,8.391,9.152,-0.761,18.864,19.174,2.443,0.993
TREFHT global ERA5,DegC,14.049,14.291,-0.243,14.017,14.193,1.872,0.991
