Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.892,2.69,0.202,2.251,1.934,1.252,0.836
TREFHT land_60S90N CRU,DegC,13.487,12.883,0.604,12.808,13.1,1.987,0.99
SWCF global ceres_ebaf_toa_v4.1,W m-2,-44.992,-45.309,0.318,20.492,20.241,10.322,0.872
LWCF global ceres_ebaf_toa_v4.1,W m-2,22.897,25.813,-2.915,9.248,11.0,6.551,0.846
U-850mb global ERA-Interim,m s-1,1.229,1.097,0.132,5.071,5.4,1.023,0.983
U-200mb global ERA-Interim,m s-1,16.677,15.687,0.99,12.686,12.316,2.686,0.98
Z3-500mb global ERA-Interim,hectometer,56.695,56.618,0.076,2.584,2.575,0.158,0.999
PSL global ERA-Interim,mbar,1011.179,1011.302,-0.122,7.899,8.142,1.336,0.987
PSL global ERA5,mbar,1011.179,1011.389,-0.21,7.899,8.066,1.421,0.985
U-850mb global ERA5,m s-1,1.229,1.081,0.148,5.071,5.41,1.09,0.981
U-200mb global ERA5,m s-1,16.677,15.655,1.022,12.686,12.246,2.718,0.98
Z3-500mb global ERA5,hectometer,56.695,56.608,0.087,2.584,2.566,0.164,0.999
TREFHT land ERA-Interim,DegC,9.126,8.793,0.333,18.928,18.713,1.498,0.997
TREFHT global ERA-Interim,DegC,14.665,14.412,0.253,14.335,14.113,1.256,0.996
TREFHT land ERA5,DegC,9.126,8.836,0.29,18.928,18.898,1.671,0.996
TREFHT global ERA5,DegC,14.665,14.266,0.398,14.335,14.107,1.379,0.996
