Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.886,2.699,0.187,2.938,2.369,1.619,0.837
TREFHT land_60S90N CRU,DegC,5.622,5.46,0.163,18.969,20.005,2.883,0.991
SWCF global ceres_ebaf_toa_v4.1,W m-2,-48.778,-49.227,0.449,39.6,36.987,13.33,0.942
LWCF global ceres_ebaf_toa_v4.1,W m-2,22.217,25.835,-3.617,12.643,14.322,8.23,0.857
U-850mb global ERA-Interim,m s-1,1.222,1.068,0.154,5.531,5.797,1.296,0.975
U-200mb global ERA-Interim,m s-1,17.928,16.982,0.946,15.605,14.763,3.562,0.976
Z3-500mb global ERA-Interim,hectometer,56.45,56.403,0.047,2.719,2.695,0.202,0.997
PSL global ERA-Interim,mbar,1011.568,1011.442,0.126,8.233,8.711,1.573,0.984
PSL global ERA5,mbar,1011.568,1011.54,0.028,8.233,8.594,1.567,0.984
U-850mb global ERA5,m s-1,1.222,1.046,0.176,5.531,5.827,1.374,0.973
U-200mb global ERA5,m s-1,17.928,16.976,0.952,15.605,14.67,3.565,0.976
Z3-500mb global ERA5,hectometer,56.45,56.387,0.063,2.719,2.687,0.206,0.997
TREFHT land ERA-Interim,DegC,3.278,3.128,0.15,20.097,20.046,2.136,0.994
TREFHT global ERA-Interim,DegC,12.832,12.672,0.16,16.15,15.885,1.49,0.996
TREFHT land ERA5,DegC,3.278,3.057,0.221,20.097,20.515,2.04,0.995
TREFHT global ERA5,DegC,12.832,12.491,0.341,16.15,15.939,1.548,0.996
