Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.876,2.664,0.212,2.45,2.066,1.677,0.741
SWCF global ceres_ebaf_toa_v4.1,W m-2,-42.407,-42.479,0.072,21.969,22.041,13.153,0.821
LWCF global ceres_ebaf_toa_v4.1,W m-2,23.552,26.074,-2.522,9.871,11.668,8.448,0.732
U-850mb global ERA-Interim,m s-1,1.246,1.009,0.237,5.197,5.418,1.216,0.976
U-200mb global ERA-Interim,m s-1,17.835,17.09,0.745,13.175,12.063,3.652,0.964
Z3-500mb global ERA-Interim,hectometer,56.665,56.582,0.083,2.64,2.612,0.192,0.998
PSL global ERA-Interim,mbar,1011.191,1011.337,-0.145,7.99,8.029,1.603,0.98
PSL global ERA5,mbar,1011.191,1011.414,-0.223,7.99,7.99,1.695,0.978
U-850mb global ERA5,m s-1,1.246,0.981,0.266,5.197,5.445,1.316,0.972
U-200mb global ERA5,m s-1,17.835,17.06,0.776,13.175,11.996,3.692,0.963
Z3-500mb global ERA5,hectometer,56.665,56.572,0.092,2.64,2.604,0.196,0.998
TREFHT land ERA-Interim,DegC,8.867,8.507,0.36,20.32,20.278,1.862,0.996
TREFHT global ERA-Interim,DegC,14.736,14.366,0.369,15.125,15.022,1.597,0.995
TREFHT land ERA5,DegC,8.867,8.634,0.232,20.32,20.258,1.98,0.995
TREFHT global ERA5,DegC,14.736,14.242,0.494,15.125,14.912,1.688,0.994
