Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.845,2.685,0.16,2.713,2.214,1.442,0.85
SWCF global ceres_ebaf_toa_v4.1,W m-2,-43.933,-46.398,2.465,24.991,25.823,12.449,0.885
LWCF global ceres_ebaf_toa_v4.1,W m-2,22.747,25.676,-2.928,10.828,12.27,7.36,0.836
U-850mb global ERA-Interim,m s-1,1.24,1.173,0.068,5.492,5.602,1.22,0.976
U-200mb global ERA-Interim,m s-1,16.62,15.732,0.887,13.553,13.147,2.913,0.979
Z3-500mb global ERA-Interim,hectometer,56.658,56.594,0.064,2.726,2.691,0.175,0.998
PSL global ERA-Interim,mbar,1011.155,1011.255,-0.1,8.823,8.892,1.592,0.984
PSL global ERA5,mbar,1011.155,1011.349,-0.194,8.823,8.786,1.676,0.982
U-850mb global ERA5,m s-1,1.24,1.153,0.088,5.492,5.581,1.269,0.974
U-200mb global ERA5,m s-1,16.62,15.697,0.923,13.553,13.063,2.964,0.978
Z3-500mb global ERA5,hectometer,56.658,56.583,0.075,2.726,2.678,0.183,0.998
TREFHT land ERA-Interim,DegC,9.408,9.214,0.194,19.41,18.923,1.681,0.997
TREFHT global ERA-Interim,DegC,14.614,14.456,0.157,14.486,14.164,1.32,0.996
TREFHT land ERA5,DegC,9.408,9.17,0.238,19.41,19.193,1.787,0.996
TREFHT global ERA5,DegC,14.614,14.288,0.326,14.486,14.199,1.407,0.996
