Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.839,2.69,0.149,2.198,1.934,1.271,0.821
TREFHT land_60S90N CRU,DegC,13.171,12.847,0.324,12.638,13.018,2.047,0.988
SWCF global ceres_ebaf_toa_v4.1,W m-2,-47.688,-45.32,-2.369,21.422,20.085,11.71,0.849
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.317,25.809,-1.491,9.688,10.951,6.467,0.821
U-850mb global ERA-Interim,m s-1,1.084,1.098,-0.013,5.317,5.398,1.123,0.978
U-200mb global ERA-Interim,m s-1,16.58,15.687,0.893,12.165,12.316,2.709,0.978
Z3-500mb global ERA-Interim,hectometer,56.553,56.618,-0.065,2.542,2.575,0.179,0.998
PSL global ERA-Interim,mbar,1011.31,1011.302,0.009,8.231,8.142,1.472,0.984
PSL global ERA5,mbar,1011.31,1011.388,-0.078,8.231,8.066,1.542,0.982
U-850mb global ERA5,m s-1,1.084,1.083,0.002,5.317,5.409,1.178,0.976
U-200mb global ERA5,m s-1,16.58,15.654,0.926,12.165,12.246,2.751,0.977
Z3-500mb global ERA5,hectometer,56.553,56.608,-0.054,2.542,2.566,0.174,0.998
TREFHT land ERA-Interim,DegC,8.754,8.851,-0.097,18.697,18.709,1.88,0.995
TREFHT global ERA-Interim,DegC,14.315,14.412,-0.097,13.986,14.112,1.515,0.994
TREFHT land ERA5,DegC,8.754,8.82,-0.066,18.697,18.879,2.215,0.993
TREFHT global ERA5,DegC,14.315,14.27,0.046,13.986,14.101,1.638,0.993
