Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.832,2.699,0.133,2.923,2.369,1.638,0.83
TREFHT land_60S90N CRU,DegC,5.733,5.217,0.517,18.633,20.045,3.103,0.99
SWCF global ceres_ebaf_toa_v4.1,W m-2,-51.411,-49.233,-2.178,40.598,36.855,14.577,0.935
LWCF global ceres_ebaf_toa_v4.1,W m-2,23.546,25.829,-2.283,13.626,14.261,7.824,0.857
U-850mb global ERA-Interim,m s-1,0.99,1.069,-0.079,5.852,5.797,1.385,0.972
U-200mb global ERA-Interim,m s-1,17.543,16.982,0.561,15.292,14.763,3.121,0.98
Z3-500mb global ERA-Interim,hectometer,56.329,56.403,-0.073,2.646,2.695,0.212,0.997
PSL global ERA-Interim,mbar,1011.694,1011.443,0.251,8.638,8.712,1.649,0.982
PSL global ERA5,mbar,1011.694,1011.54,0.154,8.638,8.595,1.646,0.982
U-850mb global ERA5,m s-1,0.99,1.047,-0.057,5.852,5.827,1.435,0.97
U-200mb global ERA5,m s-1,17.543,16.976,0.568,15.292,14.67,3.094,0.98
Z3-500mb global ERA5,hectometer,56.329,56.387,-0.057,2.646,2.687,0.205,0.997
TREFHT land ERA-Interim,DegC,3.062,3.204,-0.143,19.85,20.076,2.5,0.992
TREFHT global ERA-Interim,DegC,12.506,12.672,-0.166,15.809,15.883,1.694,0.994
TREFHT land ERA5,DegC,3.062,3.057,0.005,19.85,20.497,2.539,0.993
TREFHT global ERA5,DegC,12.506,12.494,0.012,15.809,15.933,1.754,0.994
