Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.907,2.715,0.192,2.923,2.517,1.815,0.79
TREFHT land_60S90N CRU,DegC,19.921,19.676,0.244,8.728,8.118,2.354,0.964
SWCF global ceres_ebaf_toa_v4.1,W m-2,-47.572,-43.25,-4.322,35.908,29.761,18.766,0.862
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.576,25.662,-1.087,14.102,14.259,8.414,0.827
U-850mb global ERA-Interim,m s-1,1.089,1.14,-0.051,5.763,5.815,1.724,0.956
U-200mb global ERA-Interim,m s-1,14.296,12.973,1.323,16.2,16.055,4.089,0.971
Z3-500mb global ERA-Interim,hectometer,56.834,56.891,-0.056,2.609,2.614,0.283,0.994
PSL global ERA-Interim,mbar,1010.952,1011.175,-0.223,8.746,8.533,2.519,0.958
PSL global ERA5,mbar,1010.952,1011.254,-0.302,8.746,8.476,2.557,0.957
U-850mb global ERA5,m s-1,1.089,1.148,-0.059,5.763,5.84,1.771,0.954
U-200mb global ERA5,m s-1,14.296,12.915,1.38,16.2,15.988,4.212,0.97
Z3-500mb global ERA5,hectometer,56.834,56.885,-0.05,2.609,2.605,0.284,0.994
TREFHT land ERA-Interim,DegC,14.198,14.243,-0.045,20.153,20.399,2.206,0.994
TREFHT global ERA-Interim,DegC,16.072,16.115,-0.043,13.956,14.294,2.015,0.99
TREFHT land ERA5,DegC,14.198,14.335,-0.138,20.153,20.132,2.592,0.992
TREFHT global ERA5,DegC,16.072,16.011,0.062,13.956,14.167,2.12,0.989
