Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.787,2.685,0.102,2.628,2.214,1.423,0.842
SWCF global ceres_ebaf_toa_v4.1,W m-2,-47.017,-46.405,-0.612,25.636,25.686,13.525,0.861
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.3,25.672,-1.372,10.942,12.204,7.175,0.82
U-850mb global ERA-Interim,m s-1,1.161,1.173,-0.012,5.737,5.6,1.339,0.972
U-200mb global ERA-Interim,m s-1,17.025,15.732,1.292,12.922,13.147,3.382,0.971
Z3-500mb global ERA-Interim,hectometer,56.527,56.594,-0.067,2.705,2.691,0.208,0.997
PSL global ERA-Interim,mbar,1011.282,1011.255,0.027,9.217,8.892,1.809,0.981
PSL global ERA5,mbar,1011.282,1011.348,-0.066,9.217,8.786,1.884,0.979
U-850mb global ERA5,m s-1,1.161,1.154,0.007,5.737,5.581,1.389,0.97
U-200mb global ERA5,m s-1,17.025,15.697,1.328,12.922,13.063,3.442,0.97
Z3-500mb global ERA5,hectometer,56.527,56.583,-0.056,2.705,2.678,0.208,0.997
TREFHT land ERA-Interim,DegC,9.154,9.269,-0.114,19.253,18.92,2.031,0.995
TREFHT global ERA-Interim,DegC,14.276,14.457,-0.181,14.192,14.163,1.574,0.994
TREFHT land ERA5,DegC,9.154,9.152,0.003,19.253,19.174,2.271,0.993
TREFHT global ERA5,DegC,14.276,14.291,-0.016,14.192,14.193,1.657,0.993
