Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.976,2.69,0.285,2.321,1.934,1.29,0.84
TREFHT land_60S90N CRU,DegC,13.823,12.801,1.022,12.653,13.065,2.11,0.99
SWCF global ceres_ebaf_toa_v4.1,W m-2,-44.283,-45.308,1.025,20.987,20.092,10.675,0.867
LWCF global ceres_ebaf_toa_v4.1,W m-2,23.96,25.812,-1.851,11.347,10.953,5.514,0.892
U-850mb global ERA-Interim,m s-1,1.307,1.097,0.21,5.695,5.401,1.263,0.976
U-200mb global ERA-Interim,m s-1,17.803,15.687,2.116,13.417,12.315,4.333,0.96
Z3-500mb global ERA-Interim,hectometer,56.475,56.618,-0.143,2.712,2.575,0.27,0.998
PSL global ERA-Interim,mbar,1011.508,1011.302,0.207,8.479,8.143,1.752,0.979
PSL global ERA5,mbar,1011.508,1011.389,0.12,8.479,8.066,1.83,0.977
U-850mb global ERA5,m s-1,1.307,1.082,0.225,5.695,5.41,1.3,0.974
U-200mb global ERA5,m s-1,17.803,15.654,2.149,13.417,12.246,4.357,0.96
Z3-500mb global ERA5,hectometer,56.475,56.608,-0.133,2.712,2.566,0.27,0.998
TREFHT land ERA-Interim,DegC,9.296,8.882,0.415,18.854,18.692,1.576,0.997
TREFHT global ERA-Interim,DegC,14.324,14.411,-0.087,14.382,14.115,1.279,0.996
TREFHT land ERA5,DegC,9.296,8.857,0.44,18.854,18.889,1.724,0.996
TREFHT global ERA5,DegC,14.324,14.267,0.057,14.382,14.11,1.366,0.996
