Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.986,2.699,0.287,3.024,2.369,1.638,0.848
TREFHT land_60S90N CRU,DegC,6.674,5.149,1.525,18.412,20.082,3.54,0.989
SWCF global ceres_ebaf_toa_v4.1,W m-2,-48.569,-49.227,0.658,37.144,36.855,13.358,0.935
LWCF global ceres_ebaf_toa_v4.1,W m-2,23.286,25.832,-2.547,14.448,14.26,7.41,0.883
U-850mb global ERA-Interim,m s-1,1.235,1.068,0.168,6.413,5.798,1.777,0.962
U-200mb global ERA-Interim,m s-1,18.805,16.981,1.823,16.604,14.763,5.209,0.958
Z3-500mb global ERA-Interim,hectometer,56.267,56.403,-0.135,2.849,2.696,0.33,0.996
PSL global ERA-Interim,mbar,1011.788,1011.443,0.345,8.998,8.712,2.313,0.967
PSL global ERA5,mbar,1011.788,1011.54,0.248,8.998,8.594,2.327,0.966
U-850mb global ERA5,m s-1,1.235,1.048,0.188,6.413,5.827,1.83,0.959
U-200mb global ERA5,m s-1,18.805,16.976,1.829,16.604,14.67,5.247,0.958
Z3-500mb global ERA5,hectometer,56.267,56.387,-0.12,2.849,2.687,0.329,0.996
TREFHT land ERA-Interim,DegC,4.132,3.173,0.959,19.449,20.097,2.45,0.993
TREFHT global ERA-Interim,DegC,12.787,12.67,0.117,15.62,15.888,1.594,0.995
TREFHT land ERA5,DegC,4.132,3.083,1.049,19.449,20.515,2.604,0.994
TREFHT global ERA5,DegC,12.787,12.492,0.295,15.62,15.942,1.697,0.995
