Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.033,2.715,0.318,3.092,2.517,1.785,0.823
TREFHT land_60S90N CRU,DegC,20.563,19.659,0.904,8.814,8.159,2.2,0.975
SWCF global ceres_ebaf_toa_v4.1,W m-2,-42.848,-43.232,0.383,29.969,29.759,14.867,0.876
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.285,25.664,-1.379,16.506,14.267,8.285,0.869
U-850mb global ERA-Interim,m s-1,1.277,1.139,0.138,6.063,5.817,1.457,0.971
U-200mb global ERA-Interim,m s-1,15.322,12.972,2.349,16.748,16.055,4.582,0.972
Z3-500mb global ERA-Interim,hectometer,56.748,56.89,-0.143,2.758,2.614,0.284,0.997
PSL global ERA-Interim,mbar,1011.202,1011.175,0.027,8.762,8.533,1.892,0.976
PSL global ERA5,mbar,1011.202,1011.255,-0.053,8.762,8.476,1.95,0.975
U-850mb global ERA5,m s-1,1.277,1.147,0.131,6.063,5.841,1.504,0.969
U-200mb global ERA5,m s-1,15.322,12.915,2.407,16.748,15.989,4.654,0.971
Z3-500mb global ERA5,hectometer,56.748,56.885,-0.137,2.758,2.605,0.288,0.997
TREFHT land ERA-Interim,DegC,14.633,14.331,0.302,20.597,20.331,1.817,0.996
TREFHT global ERA-Interim,DegC,15.921,16.115,-0.194,14.932,14.297,1.583,0.995
TREFHT land ERA5,DegC,14.633,14.375,0.258,20.597,20.123,2.076,0.995
TREFHT global ERA5,DegC,15.921,16.007,-0.086,14.932,14.174,1.734,0.994
