Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.929,2.685,0.244,2.82,2.214,1.66,0.814
SWCF global ceres_ebaf_toa_v4.1,W m-2,-43.978,-46.399,2.422,26.636,25.685,14.076,0.86
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.1,25.678,-1.578,13.743,12.207,6.925,0.872
U-850mb global ERA-Interim,m s-1,1.463,1.173,0.291,6.001,5.603,1.549,0.967
U-200mb global ERA-Interim,m s-1,17.901,15.732,2.169,14.027,13.147,4.452,0.961
Z3-500mb global ERA-Interim,hectometer,56.451,56.594,-0.142,2.859,2.691,0.299,0.997
PSL global ERA-Interim,mbar,1011.493,1011.255,0.238,9.534,8.892,2.171,0.975
PSL global ERA5,mbar,1011.493,1011.348,0.145,9.534,8.786,2.27,0.973
U-850mb global ERA5,m s-1,1.463,1.154,0.31,6.001,5.582,1.608,0.964
U-200mb global ERA5,m s-1,17.901,15.697,2.205,14.027,13.063,4.461,0.961
Z3-500mb global ERA5,hectometer,56.451,56.582,-0.131,2.859,2.678,0.302,0.997
TREFHT land ERA-Interim,DegC,9.65,9.306,0.344,19.49,18.897,1.898,0.996
TREFHT global ERA-Interim,DegC,14.309,14.455,-0.146,14.694,14.166,1.587,0.995
TREFHT land ERA5,DegC,9.65,9.193,0.457,19.49,19.184,1.982,0.995
TREFHT global ERA5,DegC,14.309,14.289,0.021,14.694,14.202,1.667,0.994
