Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.846,2.69,0.155,1.86,1.934,1.231,0.793
TREFHT land_60S90N CRU,DegC,12.978,12.891,0.087,12.829,12.99,2.047,0.988
SWCF global ceres_ebaf_toa_v4.1,W m-2,-49.432,-45.391,-4.042,23.34,20.035,13.619,0.831
LWCF global ceres_ebaf_toa_v4.1,W m-2,25.206,25.85,-0.645,11.951,10.943,7.429,0.794
U-850mb global ERA-Interim,m s-1,1.145,1.092,0.052,5.365,5.4,1.325,0.97
U-200mb global ERA-Interim,m s-1,16.124,15.704,0.42,12.74,12.324,2.878,0.975
Z3-500mb global ERA-Interim,hectometer,56.649,56.638,0.011,2.593,2.561,0.157,0.998
PSL global ERA-Interim,mbar,1011.373,1011.329,0.044,8.507,8.114,1.619,0.982
PSL global ERA5,mbar,1011.373,1011.414,-0.041,8.507,8.038,1.737,0.98
U-850mb global ERA5,m s-1,1.145,1.077,0.067,5.365,5.411,1.333,0.969
U-200mb global ERA5,m s-1,16.124,15.671,0.452,12.74,12.254,2.901,0.974
Z3-500mb global ERA5,hectometer,56.649,56.627,0.022,2.593,2.552,0.158,0.998
TREFHT land ERA-Interim,DegC,8.728,9.068,-0.341,18.666,18.514,2.057,0.995
TREFHT global ERA-Interim,DegC,14.417,14.533,-0.116,14.225,13.984,1.695,0.993
TREFHT land ERA5,DegC,8.728,9.036,-0.309,18.666,18.687,2.357,0.992
TREFHT global ERA5,DegC,14.417,14.39,0.027,14.225,13.974,1.808,0.992
