Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.868,2.699,0.169,2.862,2.369,1.943,0.742
TREFHT land_60S90N CRU,DegC,5.1,5.282,-0.182,19.122,20.015,3.272,0.987
SWCF global ceres_ebaf_toa_v4.1,W m-2,-55.089,-49.311,-5.778,46.187,36.784,21.625,0.898
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.349,25.876,-1.526,16.725,14.262,11.281,0.751
U-850mb global ERA-Interim,m s-1,1.196,1.063,0.132,6.025,5.801,2.131,0.936
U-200mb global ERA-Interim,m s-1,17.182,17.008,0.174,16.929,14.774,5.493,0.949
Z3-500mb global ERA-Interim,hectometer,56.435,56.423,0.012,2.787,2.683,0.315,0.994
PSL global ERA-Interim,mbar,1011.757,1011.47,0.287,9.628,8.685,2.585,0.966
PSL global ERA5,mbar,1011.757,1011.565,0.192,9.628,8.569,2.7,0.963
U-850mb global ERA5,m s-1,1.196,1.042,0.154,6.025,5.831,2.132,0.936
U-200mb global ERA5,m s-1,17.182,17.002,0.18,16.929,14.68,5.515,0.949
Z3-500mb global ERA5,hectometer,56.435,56.407,0.028,2.787,2.675,0.317,0.994
TREFHT land ERA-Interim,DegC,2.625,3.36,-0.735,20.112,20.031,2.769,0.992
TREFHT global ERA-Interim,DegC,12.509,12.792,-0.283,16.536,15.791,2.32,0.991
TREFHT land ERA5,DegC,2.625,3.227,-0.602,20.112,20.441,2.848,0.991
TREFHT global ERA5,DegC,12.509,12.614,-0.106,16.536,15.84,2.426,0.99
