Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.904,2.715,0.189,2.829,2.517,1.717,0.802
TREFHT land_60S90N CRU,DegC,20.178,19.695,0.483,8.91,8.102,2.623,0.959
SWCF global ceres_ebaf_toa_v4.1,W m-2,-47.133,-43.286,-3.847,35.555,29.724,20.494,0.824
LWCF global ceres_ebaf_toa_v4.1,W m-2,25.374,25.699,-0.325,18.133,14.267,10.525,0.815
U-850mb global ERA-Interim,m s-1,1.162,1.134,0.028,5.82,5.819,1.791,0.953
U-200mb global ERA-Interim,m s-1,13.817,12.978,0.839,16.741,16.078,3.979,0.973
Z3-500mb global ERA-Interim,hectometer,56.923,56.908,0.014,2.62,2.599,0.235,0.996
PSL global ERA-Interim,mbar,1011.005,1011.203,-0.198,8.528,8.511,2.267,0.965
PSL global ERA5,mbar,1011.005,1011.282,-0.277,8.528,8.454,2.296,0.964
U-850mb global ERA5,m s-1,1.162,1.142,0.02,5.82,5.844,1.845,0.95
U-200mb global ERA5,m s-1,13.817,12.92,0.896,16.741,16.011,4.116,0.971
Z3-500mb global ERA5,hectometer,56.923,56.902,0.02,2.62,2.59,0.239,0.996
TREFHT land ERA-Interim,DegC,14.579,14.496,0.083,20.236,20.088,2.424,0.993
TREFHT global ERA-Interim,DegC,16.247,16.229,0.018,14.167,14.142,1.834,0.992
TREFHT land ERA5,DegC,14.579,14.576,0.003,20.236,19.831,2.818,0.991
TREFHT global ERA5,DegC,16.247,16.123,0.124,14.167,14.018,1.977,0.99
