Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.793,2.685,0.109,2.308,2.214,1.371,0.818
SWCF global ceres_ebaf_toa_v4.1,W m-2,-49.076,-46.495,-2.581,30.329,25.633,16.597,0.841
LWCF global ceres_ebaf_toa_v4.1,W m-2,25.408,25.706,-0.299,14.163,12.209,8.738,0.79
U-850mb global ERA-Interim,m s-1,1.096,1.167,-0.071,5.781,5.602,1.524,0.965
U-200mb global ERA-Interim,m s-1,16.38,15.745,0.635,13.377,13.158,3.662,0.963
Z3-500mb global ERA-Interim,hectometer,56.62,56.614,0.006,2.712,2.676,0.188,0.998
PSL global ERA-Interim,mbar,1011.335,1011.288,0.047,9.137,8.859,1.874,0.979
PSL global ERA5,mbar,1011.335,1011.38,-0.045,9.137,8.753,1.942,0.977
U-850mb global ERA5,m s-1,1.096,1.148,-0.052,5.781,5.582,1.585,0.962
U-200mb global ERA5,m s-1,16.38,15.709,0.671,13.377,13.073,3.703,0.962
Z3-500mb global ERA5,hectometer,56.62,56.603,0.017,2.712,2.663,0.193,0.998
TREFHT land ERA-Interim,DegC,9.491,9.489,0.003,19.168,18.723,2.221,0.994
TREFHT global ERA-Interim,DegC,14.592,14.577,0.015,14.14,14.037,1.622,0.993
TREFHT land ERA5,DegC,9.491,9.372,0.12,19.168,18.978,2.461,0.992
TREFHT global ERA5,DegC,14.592,14.412,0.18,14.14,14.065,1.721,0.993
