Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.738,2.69,0.047,2.126,1.885,1.27,0.806
TREFHT land_60S90N CRU,DegC,11.329,12.847,-1.519,14.08,13.041,2.994,0.985
RESTOM global ceres_ebaf_toa_v4.1,W m-2,0.614,0.909,-0.295,53.431,55.962,10.85,0.981
SWCF global ceres_ebaf_toa_v4.1,W m-2,-53.663,-45.318,-8.345,24.67,20.097,17.999,0.765
LWCF global ceres_ebaf_toa_v4.1,W m-2,29.128,25.814,3.314,14.332,10.955,8.61,0.835
U-850mb global ERA-Interim,m s-1,0.574,1.097,-0.523,6.46,5.4,2.265,0.946
U-200mb global ERA-Interim,m s-1,16.738,15.686,1.052,11.64,12.316,3.313,0.967
Z3-500mb global ERA-Interim,hectometer,56.449,56.618,-0.169,2.648,2.575,0.271,0.997
PSL global ERA-Interim,mbar,1011.42,1011.301,0.119,9.062,8.142,2.518,0.963
PSL global ERA5,mbar,1011.42,1011.384,0.036,9.062,8.064,2.648,0.959
U-850mb global ERA5,m s-1,0.574,1.082,-0.508,6.46,5.414,2.264,0.946
U-200mb global ERA5,m s-1,16.738,15.654,1.084,11.64,12.247,3.276,0.968
Z3-500mb global ERA5,hectometer,56.449,56.608,-0.158,2.648,2.566,0.265,0.997
TREFHT land ERA-Interim,DegC,6.883,8.882,-1.998,19.468,18.674,3.565,0.99
TREFHT global ERA-Interim,DegC,13.029,14.412,-1.383,15.007,14.119,2.559,0.991
TREFHT land ERA5,DegC,6.883,8.797,-1.913,19.468,18.915,3.686,0.987
TREFHT global ERA5,DegC,13.029,14.274,-1.245,15.007,14.118,2.599,0.99
