Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.715,2.662,0.053,2.451,2.01,1.695,0.728
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-0.115,1.434,-1.55,67.581,71.976,15.036,0.979
SWCF global ceres_ebaf_toa_v4.1,W m-2,-50.614,-42.491,-8.123,26.869,21.846,21.142,0.697
LWCF global ceres_ebaf_toa_v4.1,W m-2,29.053,26.077,2.977,15.491,11.612,10.647,0.751
U-850mb global ERA-Interim,m s-1,0.607,1.009,-0.401,6.642,5.419,2.552,0.933
U-200mb global ERA-Interim,m s-1,17.818,17.089,0.729,11.902,12.064,4.153,0.942
Z3-500mb global ERA-Interim,hectometer,56.399,56.581,-0.182,2.727,2.612,0.333,0.995
PSL global ERA-Interim,mbar,1011.449,1011.336,0.113,8.808,8.028,2.904,0.945
PSL global ERA5,mbar,1011.449,1011.409,0.04,8.808,7.987,2.995,0.941
U-850mb global ERA5,m s-1,0.607,0.981,-0.374,6.642,5.451,2.556,0.931
U-200mb global ERA5,m s-1,17.818,17.059,0.759,11.902,11.996,4.148,0.942
Z3-500mb global ERA5,hectometer,56.399,56.572,-0.173,2.727,2.604,0.329,0.996
TREFHT land ERA-Interim,DegC,6.165,8.598,-2.433,21.28,20.235,4.546,0.985
TREFHT global ERA-Interim,DegC,12.892,14.366,-1.473,15.98,15.03,2.96,0.988
TREFHT land ERA5,DegC,6.165,8.586,-2.421,21.28,20.278,4.635,0.984
TREFHT global ERA5,DegC,12.892,14.249,-1.356,15.98,14.923,3.015,0.987
