Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.695,2.685,0.01,2.511,2.152,1.553,0.789
RESTOM global ceres_ebaf_toa_v4.1,W m-2,3.643,1.96,1.682,70.608,73.668,12.441,0.986
SWCF global ceres_ebaf_toa_v4.1,W m-2,-53.584,-46.409,-7.175,29.197,25.695,19.593,0.787
LWCF global ceres_ebaf_toa_v4.1,W m-2,28.732,25.676,3.056,15.588,12.211,9.632,0.811
U-850mb global ERA-Interim,m s-1,0.678,1.172,-0.494,6.693,5.602,2.344,0.946
U-200mb global ERA-Interim,m s-1,17.23,15.732,1.499,12.206,13.147,3.937,0.961
Z3-500mb global ERA-Interim,hectometer,56.42,56.593,-0.174,2.755,2.691,0.28,0.997
PSL global ERA-Interim,mbar,1011.368,1011.254,0.113,10.016,8.892,2.755,0.965
PSL global ERA5,mbar,1011.368,1011.344,0.023,10.016,8.784,2.893,0.961
U-850mb global ERA5,m s-1,0.678,1.154,-0.475,6.693,5.585,2.348,0.946
U-200mb global ERA5,m s-1,17.23,15.697,1.534,12.206,13.064,3.89,0.962
Z3-500mb global ERA5,hectometer,56.42,56.582,-0.162,2.755,2.678,0.275,0.997
TREFHT land ERA-Interim,DegC,7.326,9.308,-1.982,19.566,18.881,3.676,0.988
TREFHT global ERA-Interim,DegC,13.035,14.457,-1.421,15.077,14.17,2.825,0.988
TREFHT land ERA5,DegC,7.326,9.133,-1.807,19.566,19.209,3.744,0.986
TREFHT global ERA5,DegC,13.035,14.295,-1.26,15.077,14.21,2.83,0.987
