Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.845,2.69,0.154,2.152,1.934,0.824,0.927
TREFHT land_60S90N CRU,DegC,13.399,12.759,0.64,12.953,13.078,1.736,0.992
RESTOM global ceres_ebaf_toa_v4.1,W m-2,0.321,0.926,-0.606,54.688,55.961,9.096,0.987
SWCF global ceres_ebaf_toa_v4.1,W m-2,-48.886,-45.306,-3.581,22.894,20.091,9.834,0.917
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.327,25.808,-1.482,11.726,10.952,4.596,0.929
U-850mb global ERA-Interim,m s-1,0.975,1.098,-0.122,5.9,5.399,1.131,0.984
U-200mb global ERA-Interim,m s-1,16.531,15.687,0.844,11.445,12.316,2.402,0.985
Z3-500mb global ERA-Interim,hectometer,56.706,56.618,0.087,2.641,2.575,0.175,0.999
PSL global ERA-Interim,mbar,1011.283,1011.302,-0.019,9.209,8.142,1.681,0.989
PSL global ERA5,mbar,1011.283,1011.39,-0.107,9.209,8.067,1.825,0.986
U-850mb global ERA5,m s-1,0.975,1.082,-0.107,5.9,5.411,1.103,0.985
U-200mb global ERA5,m s-1,16.531,15.655,0.877,11.445,12.247,2.401,0.984
Z3-500mb global ERA5,hectometer,56.706,56.608,0.098,2.641,2.566,0.183,0.999
TREFHT land ERA-Interim,DegC,8.916,8.849,0.066,18.927,18.694,1.549,0.997
TREFHT global ERA-Interim,DegC,14.281,14.411,-0.13,14.259,14.114,1.342,0.996
TREFHT land ERA5,DegC,8.916,8.838,0.077,18.927,18.894,1.805,0.995
TREFHT global ERA5,DegC,14.281,14.265,0.015,14.259,14.11,1.447,0.995
