Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.834,2.699,0.135,2.704,2.369,1.059,0.923
TREFHT land_60S90N CRU,DegC,5.84,5.096,0.744,19.307,20.093,2.658,0.992
RESTOM global ceres_ebaf_toa_v4.1,W m-2,8.085,7.947,0.138,95.428,95.889,13.46,0.99
SWCF global ceres_ebaf_toa_v4.1,W m-2,-51.767,-49.226,-2.541,38.874,36.864,11.816,0.955
LWCF global ceres_ebaf_toa_v4.1,W m-2,23.014,25.831,-2.817,15.468,14.26,6.428,0.928
U-850mb global ERA-Interim,m s-1,0.866,1.068,-0.203,6.397,5.797,1.351,0.981
U-200mb global ERA-Interim,m s-1,17.609,16.981,0.628,14.95,14.763,2.928,0.982
Z3-500mb global ERA-Interim,hectometer,56.472,56.403,0.07,2.726,2.696,0.185,0.998
PSL global ERA-Interim,mbar,1011.486,1011.442,0.044,9.598,8.712,1.708,0.987
PSL global ERA5,mbar,1011.486,1011.541,-0.055,9.598,8.595,1.828,0.986
U-850mb global ERA5,m s-1,0.866,1.047,-0.181,6.397,5.828,1.322,0.981
U-200mb global ERA5,m s-1,17.609,16.976,0.634,14.95,14.671,2.893,0.982
Z3-500mb global ERA5,hectometer,56.472,56.387,0.086,2.726,2.687,0.195,0.998
TREFHT land ERA-Interim,DegC,3.27,3.164,0.106,20.277,20.074,1.982,0.995
TREFHT global ERA-Interim,DegC,12.437,12.67,-0.233,16.207,15.887,1.618,0.995
TREFHT land ERA5,DegC,3.27,3.07,0.201,20.277,20.505,2.076,0.995
TREFHT global ERA5,DegC,12.437,12.49,-0.053,16.207,15.941,1.749,0.994
