Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.934,2.715,0.219,2.746,2.517,1.19,0.905
TREFHT land_60S90N CRU,DegC,20.091,19.633,0.457,8.831,8.163,2.039,0.975
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-9.712,-7.508,-2.204,87.52,86.649,13.65,0.988
SWCF global ceres_ebaf_toa_v4.1,W m-2,-48.731,-43.227,-5.504,34.089,29.75,14.93,0.914
LWCF global ceres_ebaf_toa_v4.1,W m-2,25.289,25.662,-0.373,16.148,14.264,6.045,0.929
U-850mb global ERA-Interim,m s-1,1.101,1.14,-0.038,6.367,5.816,1.335,0.98
U-200mb global ERA-Interim,m s-1,13.777,12.972,0.805,15.804,16.055,2.716,0.987
Z3-500mb global ERA-Interim,hectometer,56.995,56.891,0.104,2.71,2.614,0.22,0.998
PSL global ERA-Interim,mbar,1011.136,1011.175,-0.039,9.723,8.533,1.962,0.985
PSL global ERA5,mbar,1011.136,1011.257,-0.121,9.723,8.476,2.07,0.984
U-850mb global ERA5,m s-1,1.101,1.147,-0.046,6.367,5.842,1.363,0.979
U-200mb global ERA5,m s-1,13.777,12.915,0.862,15.804,15.989,2.79,0.986
Z3-500mb global ERA5,hectometer,56.995,56.885,0.11,2.71,2.605,0.226,0.998
TREFHT land ERA-Interim,DegC,14.27,14.276,-0.006,20.279,20.364,2.078,0.995
TREFHT global ERA-Interim,DegC,16.042,16.114,-0.073,14.22,14.296,1.705,0.993
TREFHT land ERA5,DegC,14.27,14.355,-0.086,20.279,20.143,2.331,0.993
TREFHT global ERA5,DegC,16.042,16.005,0.036,14.22,14.176,1.764,0.992
