Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.806,2.664,0.143,2.318,2.066,1.06,0.891
RESTOM global ceres_ebaf_toa_v4.1,W m-2,1.75,1.448,0.302,72.333,71.973,9.498,0.991
SWCF global ceres_ebaf_toa_v4.1,W m-2,-45.076,-42.475,-2.601,24.836,21.837,10.996,0.903
LWCF global ceres_ebaf_toa_v4.1,W m-2,24.999,26.07,-1.071,13.179,11.609,6.548,0.872
U-850mb global ERA-Interim,m s-1,0.924,1.01,-0.086,5.954,5.418,1.47,0.971
U-200mb global ERA-Interim,m s-1,18.027,17.09,0.938,10.945,12.063,3.629,0.958
Z3-500mb global ERA-Interim,hectometer,56.653,56.582,0.071,2.675,2.612,0.197,0.998
PSL global ERA-Interim,mbar,1011.292,1011.337,-0.045,9.017,8.029,1.914,0.981
PSL global ERA5,mbar,1011.292,1011.415,-0.123,9.017,7.99,2.025,0.979
U-850mb global ERA5,m s-1,0.924,0.981,-0.057,5.954,5.447,1.436,0.972
U-200mb global ERA5,m s-1,18.027,17.059,0.968,10.945,11.996,3.601,0.958
Z3-500mb global ERA5,hectometer,56.653,56.572,0.081,2.675,2.604,0.202,0.998
TREFHT land ERA-Interim,DegC,8.496,8.568,-0.073,20.452,20.255,1.831,0.996
TREFHT global ERA-Interim,DegC,14.225,14.365,-0.14,15.127,15.023,1.385,0.996
TREFHT land ERA5,DegC,8.496,8.631,-0.136,20.452,20.252,2.089,0.995
TREFHT global ERA5,DegC,14.225,14.241,-0.016,15.127,14.914,1.538,0.995
