Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.805,2.685,0.121,2.558,2.214,1.037,0.917
RESTOM global ceres_ebaf_toa_v4.1,W m-2,1.339,1.982,-0.644,71.183,73.674,11.938,0.987
SWCF global ceres_ebaf_toa_v4.1,W m-2,-50.046,-46.392,-3.654,29.147,25.682,12.686,0.909
LWCF global ceres_ebaf_toa_v4.1,W m-2,23.972,25.67,-1.698,13.263,12.205,5.309,0.925
U-850mb global ERA-Interim,m s-1,1.009,1.173,-0.164,6.261,5.601,1.312,0.982
U-200mb global ERA-Interim,m s-1,16.736,15.732,1.004,12.646,13.147,2.554,0.984
Z3-500mb global ERA-Interim,hectometer,56.698,56.594,0.104,2.774,2.691,0.202,0.998
PSL global ERA-Interim,mbar,1011.223,1011.255,-0.032,10.234,8.892,2.04,0.987
PSL global ERA5,mbar,1011.223,1011.35,-0.127,10.234,8.787,2.205,0.985
U-850mb global ERA5,m s-1,1.009,1.153,-0.144,6.261,5.582,1.316,0.982
U-200mb global ERA5,m s-1,16.736,15.697,1.039,12.646,13.063,2.605,0.983
Z3-500mb global ERA5,hectometer,56.698,56.582,0.115,2.774,2.678,0.213,0.998
TREFHT land ERA-Interim,DegC,9.51,9.27,0.241,19.164,18.902,1.773,0.996
TREFHT global ERA-Interim,DegC,14.38,14.455,-0.075,14.256,14.165,1.517,0.994
TREFHT land ERA5,DegC,9.51,9.175,0.336,19.164,19.187,1.996,0.995
TREFHT global ERA5,DegC,14.38,14.287,0.093,14.256,14.202,1.584,0.994
