Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.012,2.69,0.322,2.183,1.934,1.223,0.843
TREFHT land_60S90N CRU,DegC,12.249,12.759,-0.51,13.234,13.078,2.0,0.99
RESTOM global ceres_ebaf_toa_v4.1,W m-2,0.401,0.926,-0.525,54.117,55.961,8.585,0.988
SWCF global ceres_ebaf_toa_v4.1,W m-2,-48.962,-45.306,-3.656,22.34,20.091,10.799,0.891
LWCF global ceres_ebaf_toa_v4.1,W m-2,22.82,25.808,-2.989,12.7,10.952,6.041,0.912
U-850mb global ERA-Interim,m s-1,1.008,1.098,-0.09,5.913,5.399,1.272,0.978
U-200mb global ERA-Interim,m s-1,16.204,15.687,0.517,12.536,12.316,2.204,0.985
Z3-500mb global ERA-Interim,hectometer,56.697,56.618,0.079,2.676,2.575,0.185,0.999
PSL global ERA-Interim,mbar,1011.159,1011.302,-0.143,8.792,8.142,1.621,0.985
PSL global ERA5,mbar,1011.159,1011.39,-0.231,8.792,8.067,1.782,0.982
U-850mb global ERA5,m s-1,1.008,1.082,-0.074,5.913,5.411,1.253,0.979
U-200mb global ERA5,m s-1,16.204,15.655,0.549,12.536,12.247,2.229,0.985
Z3-500mb global ERA5,hectometer,56.697,56.608,0.09,2.676,2.566,0.194,0.999
TREFHT land ERA-Interim,DegC,7.556,8.849,-1.293,19.552,18.694,2.474,0.996
TREFHT global ERA-Interim,DegC,13.597,14.411,-0.814,15.028,14.114,1.869,0.995
TREFHT land ERA5,DegC,7.556,8.838,-1.282,19.552,18.894,2.559,0.994
TREFHT global ERA5,DegC,13.597,14.265,-0.669,15.028,14.11,1.926,0.994
