Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.028,2.699,0.329,2.886,2.369,1.564,0.849
TREFHT land_60S90N CRU,DegC,4.42,5.096,-0.676,19.609,20.093,3.25,0.988
RESTOM global ceres_ebaf_toa_v4.1,W m-2,7.669,7.947,-0.278,94.82,95.889,11.662,0.993
SWCF global ceres_ebaf_toa_v4.1,W m-2,-50.844,-49.226,-1.618,36.975,36.864,14.76,0.921
LWCF global ceres_ebaf_toa_v4.1,W m-2,21.553,25.831,-4.278,18.116,14.26,9.234,0.899
U-850mb global ERA-Interim,m s-1,0.882,1.068,-0.186,6.838,5.797,1.917,0.966
U-200mb global ERA-Interim,m s-1,16.976,16.981,-0.005,15.86,14.763,3.399,0.978
Z3-500mb global ERA-Interim,hectometer,56.489,56.403,0.086,2.811,2.696,0.244,0.997
PSL global ERA-Interim,mbar,1011.37,1011.442,-0.073,9.719,8.712,2.351,0.973
PSL global ERA5,mbar,1011.37,1011.541,-0.171,9.719,8.595,2.51,0.97
U-850mb global ERA5,m s-1,0.882,1.047,-0.164,6.838,5.828,1.858,0.969
U-200mb global ERA5,m s-1,16.976,16.976,0.0,15.86,14.671,3.382,0.978
Z3-500mb global ERA5,hectometer,56.489,56.387,0.102,2.811,2.687,0.255,0.997
TREFHT land ERA-Interim,DegC,1.762,3.164,-1.402,20.609,20.074,2.928,0.993
TREFHT global ERA-Interim,DegC,11.819,12.67,-0.851,16.811,15.887,2.173,0.994
TREFHT land ERA5,DegC,1.762,3.07,-1.308,20.609,20.505,2.814,0.993
TREFHT global ERA5,DegC,11.819,12.49,-0.671,16.811,15.941,2.217,0.993
