Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.068,2.715,0.353,2.853,2.517,1.585,0.842
TREFHT land_60S90N CRU,DegC,19.2,19.633,-0.433,8.805,8.163,1.974,0.976
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-8.558,-7.508,-1.05,85.567,86.649,12.353,0.99
SWCF global ceres_ebaf_toa_v4.1,W m-2,-48.697,-43.227,-5.469,33.981,29.75,14.253,0.923
LWCF global ceres_ebaf_toa_v4.1,W m-2,23.645,25.662,-2.017,16.907,14.264,8.228,0.883
U-850mb global ERA-Interim,m s-1,1.069,1.14,-0.071,6.357,5.816,1.579,0.97
U-200mb global ERA-Interim,m s-1,13.972,12.972,1.0,16.392,16.055,2.992,0.985
Z3-500mb global ERA-Interim,hectometer,56.964,56.891,0.073,2.719,2.614,0.195,0.998
PSL global ERA-Interim,mbar,1010.993,1011.175,-0.182,9.029,8.533,1.737,0.982
PSL global ERA5,mbar,1010.993,1011.257,-0.264,9.029,8.476,1.826,0.981
U-850mb global ERA5,m s-1,1.069,1.147,-0.078,6.357,5.842,1.598,0.969
U-200mb global ERA5,m s-1,13.972,12.915,1.057,16.392,15.989,3.022,0.985
Z3-500mb global ERA5,hectometer,56.964,56.885,0.079,2.719,2.605,0.201,0.999
TREFHT land ERA-Interim,DegC,13.064,14.276,-1.211,21.141,20.364,2.695,0.995
TREFHT global ERA-Interim,DegC,15.314,16.114,-0.8,15.229,14.296,2.086,0.993
TREFHT land ERA5,DegC,13.064,14.355,-1.291,21.141,20.143,2.971,0.993
TREFHT global ERA5,DegC,15.314,16.005,-0.691,15.229,14.176,2.183,0.993
