Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,2.97,2.664,0.306,2.301,2.066,1.496,0.78
RESTOM global ceres_ebaf_toa_v4.1,W m-2,1.854,1.448,0.406,69.718,71.973,10.55,0.989
SWCF global ceres_ebaf_toa_v4.1,W m-2,-46.186,-42.475,-3.712,24.79,21.837,12.287,0.881
LWCF global ceres_ebaf_toa_v4.1,W m-2,23.586,26.07,-2.484,14.769,11.609,8.228,0.85
U-850mb global ERA-Interim,m s-1,0.988,1.01,-0.022,5.793,5.418,1.6,0.961
U-200mb global ERA-Interim,m s-1,17.607,17.09,0.517,11.662,12.063,3.761,0.951
Z3-500mb global ERA-Interim,hectometer,56.638,56.582,0.056,2.654,2.612,0.199,0.998
PSL global ERA-Interim,mbar,1011.166,1011.337,-0.171,8.385,8.029,1.882,0.975
PSL global ERA5,mbar,1011.166,1011.415,-0.249,8.385,7.99,2.013,0.971
U-850mb global ERA5,m s-1,0.988,0.981,0.007,5.793,5.447,1.602,0.961
U-200mb global ERA5,m s-1,17.607,17.059,0.547,11.662,11.996,3.774,0.951
Z3-500mb global ERA5,hectometer,56.638,56.572,0.066,2.654,2.604,0.202,0.998
TREFHT land ERA-Interim,DegC,7.197,8.568,-1.371,20.837,20.255,2.6,0.995
TREFHT global ERA-Interim,DegC,13.59,14.365,-0.775,15.77,15.023,1.976,0.994
TREFHT land ERA5,DegC,7.197,8.631,-1.434,20.837,20.252,2.804,0.994
TREFHT global ERA5,DegC,13.59,14.241,-0.651,15.77,14.914,2.079,0.993
