Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.128,2.715,0.413,2.997,2.517,1.631,0.85
TREFHT land_60S90N CRU,DegC,20.481,19.633,0.848,8.925,8.163,2.388,0.97
RESTOM global ceres_ebaf_toa_v4.1,W m-2,-9.529,-7.508,-2.021,85.679,86.649,11.49,0.991
SWCF global ceres_ebaf_toa_v4.1,W m-2,-47.066,-43.227,-3.839,34.627,29.75,14.415,0.918
LWCF global ceres_ebaf_toa_v4.1,W m-2,21.623,25.662,-4.038,14.972,14.264,7.553,0.906
U-850mb global ERA-Interim,m s-1,0.849,1.14,-0.29,6.408,5.816,1.672,0.968
U-200mb global ERA-Interim,m s-1,14.468,12.972,1.496,15.985,16.055,3.142,0.985
Z3-500mb global ERA-Interim,hectometer,57.065,56.891,0.174,2.724,2.614,0.255,0.998
PSL global ERA-Interim,mbar,1011.106,1011.175,-0.069,9.565,8.533,2.232,0.976
PSL global ERA5,mbar,1011.106,1011.257,-0.151,9.565,8.476,2.328,0.974
U-850mb global ERA5,m s-1,0.849,1.147,-0.298,6.408,5.842,1.686,0.967
U-200mb global ERA5,m s-1,14.468,12.915,1.553,15.985,15.989,3.164,0.985
Z3-500mb global ERA5,hectometer,57.065,56.885,0.18,2.724,2.605,0.264,0.998
TREFHT land ERA-Interim,DegC,14.238,14.276,-0.038,21.532,20.364,2.526,0.995
TREFHT global ERA-Interim,DegC,16.087,16.114,-0.027,15.136,14.296,1.788,0.994
TREFHT land ERA5,DegC,14.238,14.355,-0.118,21.532,20.143,2.828,0.993
TREFHT global ERA5,DegC,16.087,16.005,0.082,15.136,14.176,1.943,0.993
