Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v2.3,mm/day,3.054,2.664,0.39,2.484,2.066,1.485,0.817
RESTOM global ceres_ebaf_toa_v4.1,W m-2,0.969,1.448,-0.479,69.023,71.973,10.935,0.989
SWCF global ceres_ebaf_toa_v4.1,W m-2,-44.657,-42.475,-2.182,26.331,21.837,14.218,0.846
LWCF global ceres_ebaf_toa_v4.1,W m-2,21.913,26.07,-4.157,12.906,11.609,8.383,0.829
U-850mb global ERA-Interim,m s-1,0.899,1.01,-0.11,5.761,5.418,1.379,0.972
U-200mb global ERA-Interim,m s-1,16.906,17.09,-0.184,12.772,12.063,3.208,0.968
Z3-500mb global ERA-Interim,hectometer,56.727,56.582,0.145,2.614,2.612,0.227,0.998
PSL global ERA-Interim,mbar,1011.251,1011.337,-0.085,8.837,8.029,1.803,0.982
PSL global ERA5,mbar,1011.251,1011.415,-0.164,8.837,7.99,1.955,0.978
U-850mb global ERA5,m s-1,0.899,0.981,-0.082,5.761,5.447,1.37,0.972
U-200mb global ERA5,m s-1,16.906,17.059,-0.154,12.772,11.996,3.23,0.968
Z3-500mb global ERA5,hectometer,56.727,56.572,0.154,2.614,2.604,0.235,0.998
TREFHT land ERA-Interim,DegC,8.137,8.568,-0.432,21.108,20.255,2.251,0.996
TREFHT global ERA-Interim,DegC,14.286,14.365,-0.08,15.696,15.023,1.716,0.995
TREFHT land ERA5,DegC,8.137,8.631,-0.495,21.108,20.252,2.514,0.994
TREFHT global ERA5,DegC,14.286,14.241,0.045,15.696,14.914,1.895,0.994
