Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v3.2,mm/day,2.996,2.811,0.185,2.138,2.066,1.016,0.888
PRECT global GPCP_v2.3,mm/day,2.996,2.689,0.307,2.108,1.938,0.99,0.895
TREFHT land_60S90N CRU,DegC,13.222,999.999,999.999,12.552,999.999,999.999,999.999
SST global HadISST,degC,20.25,999.999,999.999,8.194,999.999,999.999,999.999
SST global HadISST_CL,degC,20.25,18.783,1.466,8.194,9.477,1.053,0.992
SST global HadISST_PI,degC,20.25,999.999,999.999,8.194,999.999,999.999,999.999
SST global HadISST_PD,degC,20.25,999.999,999.999,8.194,999.999,999.999,999.999
SOLIN global ceres_ebaf_toa_v4.1,W/m2,340.292,340.272,0.02,72.714,72.726,0.446,1.0
ALBEDO 75S75N ceres_ebaf_toa_v4.1,dimensionless,0.308,0.303,0.004,0.097,0.106,0.031,0.957
ALBEDOC global ceres_ebaf_toa_v4.1,dimensionless,0.168,0.176,-0.008,0.118,0.122,0.025,0.982
RESTOM global ceres_ebaf_toa_v4.1,W/m2,0.406,0.83,-0.424,54.69,56.055,9.182,0.987
FLUT global ceres_ebaf_toa_v4.1,W/m2,238.966,240.236,-1.271,29.088,29.771,5.982,0.981
FLUTC global ceres_ebaf_toa_v4.1,W/m2,263.951,266.106,-2.156,29.853,29.815,3.95,0.994
FSNTOA global ceres_ebaf_toa_v4.1,W/m2,239.258,241.066,-1.807,77.696,80.143,10.877,0.991
FSNTOAC global ceres_ebaf_toa_v4.1,W/m2,289.12,286.441,2.679,82.896,82.771,6.657,0.997
SWCF global ceres_ebaf_toa_v4.1,W/m2,-49.862,-45.375,-4.487,21.22,20.353,11.964,0.858
LWCF global ceres_ebaf_toa_v4.1,W/m2,24.985,25.87,-0.885,12.106,11.116,4.789,0.921
NETCF global ceres_ebaf_toa_v4.1,W/m2,-24.877,-19.505,-5.372,16.146,15.158,11.061,0.811
ALBEDO_SRF global ceres_ebaf_surface_v4.1,dimensionless,0.144,999.999,999.999,0.167,999.999,999.999,999.999
