Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v3.2,mm/day,2.975,2.794,0.181,2.697,2.543,1.335,0.874
PRECT global GPCP_v2.3,mm/day,2.975,2.698,0.276,2.662,2.38,1.285,0.882
TREFHT land_60S90N CRU,DegC,5.211,999.999,999.999,19.532,999.999,999.999,999.999
SST global HadISST,degC,20.121,999.999,999.999,8.355,999.999,999.999,999.999
SST global HadISST_CL,degC,20.121,19.11,1.012,8.355,9.243,1.105,0.992
SST global HadISST_PI,degC,20.121,999.999,999.999,8.355,999.999,999.999,999.999
SST global HadISST_PD,degC,20.121,999.999,999.999,8.355,999.999,999.999,999.999
SOLIN global ceres_ebaf_toa_v4.1,W/m2,350.529,350.509,0.02,147.307,146.718,1.049,1.0
ALBEDO 75S75N ceres_ebaf_toa_v4.1,dimensionless,0.327,0.325,0.002,0.119,0.134,0.043,0.949
ALBEDOC global ceres_ebaf_toa_v4.1,dimensionless,0.188,0.213,-0.025,0.146,0.279,0.211,0.675
RESTOM global ceres_ebaf_toa_v4.1,W/m2,7.588,7.892,-0.304,96.561,95.884,11.904,0.992
FLUT global ceres_ebaf_toa_v4.1,W/m2,236.845,237.351,-0.506,32.392,32.852,8.653,0.965
FLUTC global ceres_ebaf_toa_v4.1,W/m2,261.045,263.239,-2.194,33.376,32.781,5.141,0.99
FSNTOA global ceres_ebaf_toa_v4.1,W/m2,244.323,245.243,-0.92,116.66,117.226,14.697,0.992
FSNTOAC global ceres_ebaf_toa_v4.1,W/m2,297.724,294.544,3.181,140.025,138.189,9.853,0.998
SWCF global ceres_ebaf_toa_v4.1,W/m2,-53.401,-49.301,-4.101,37.557,37.074,14.565,0.93
LWCF global ceres_ebaf_toa_v4.1,W/m2,24.2,25.888,-1.688,16.258,14.481,7.033,0.908
NETCF global ceres_ebaf_toa_v4.1,W/m2,-29.201,-23.413,-5.788,32.512,33.285,12.908,0.939
ALBEDO_SRF global ceres_ebaf_surface_v4.1,dimensionless,0.169,999.999,999.999,0.205,999.999,999.999,999.999
SWCFSRF global ceres_ebaf_surface_v4.1,W/m2,-57.617,999.999,999.999,41.499,999.999,999.999,999.999
LWCFSRF global ceres_ebaf_surface_v4.1,W/m2,26.739,999.999,999.999,17.597,999.999,999.999,999.999
NETCF_SRF global ceres_ebaf_surface_v4.1,W/m2,-30.878,999.999,999.999,37.428,999.999,999.999,999.999
FLDS global ceres_ebaf_surface_v4.1,W/m2,337.251,999.999,999.999,75.576,999.999,999.999,999.999
FLDSC global ceres_ebaf_surface_v4.1,W/m2,309.929,999.999,999.999,83.125,999.999,999.999,999.999
FLNS global ceres_ebaf_surface_v4.1,W/m2,53.41,999.999,999.999,19.454,999.999,999.999,999.999
FLNSC global ceres_ebaf_surface_v4.1,W/m2,80.149,999.999,999.999,16.504,999.999,999.999,999.999
FSDS global ceres_ebaf_surface_v4.1,W/m2,191.836,999.999,999.999,91.103,999.999,999.999,999.999
FSDSC global ceres_ebaf_surface_v4.1,W/m2,255.216,999.999,999.999,111.892,999.999,999.999,999.999
FSNS global ceres_ebaf_surface_v4.1,W/m2,166.339,999.999,999.999,86.212,999.999,999.999,999.999
FSNSC global ceres_ebaf_surface_v4.1,W/m2,223.956,999.999,999.999,111.188,999.999,999.999,999.999
LHFLX global OAFlux,W/m2,86.216,999.999,999.999,62.804,999.999,999.999,999.999
SHFLX global OAFlux,W/m2,18.783,999.999,999.999,23.448,999.999,999.999,999.999
LHFLX global ERA5,W/m2,86.216,82.179,4.037,62.804,58.752,17.965,0.961
SHFLX global ERA5,W/m2,18.783,15.39,3.393,23.448,22.856,10.672,0.905
PSL global ERA5,mbar,1011.69,1011.548,0.143,10.38,8.614,2.761,0.975
FSNS global ERA5,W/m2,166.339,168.873,-2.535,86.212,85.462,17.039,0.981
FLNS global ERA5,W/m2,53.41,57.089,-3.679,19.454,18.481,9.717,0.889
NET_FLUX_SRF global ERA5,W/m2,7.056,14.215,-7.159,93.76,89.403,29.594,0.952
PRECT global ERA5,mm/day,2.975,2.886,0.089,2.697,2.655,1.244,0.893
TMQ global ERA5,kg/m2,24.715,23.034,1.681,15.69,15.481,3.115,0.986
QREFHT global ERA5_ext,g/kg,9.773,999.999,999.999,6.022,999.999,999.999,999.999
U10 global ERA5_ext,m/s,6.229,999.999,999.999,2.459,999.999,999.999,999.999
U-850mb global ERA5,m/s,1.172,1.017,0.156,6.445,5.874,1.543,0.972
U-200mb global ERA5,m/s,17.87,16.923,0.947,14.797,14.718,4.17,0.962
Z3-500mb global ERA5,hectometer,56.457,56.38,0.077,2.76,2.69,0.249,0.997
OMEGA-200mb global ERA5,mbar/day,0.194,999.999,999.999,16.145,999.999,999.999,999.999
OMEGA-500mb global ERA5,mbar/day,-0.012,999.999,999.999,25.644,999.999,999.999,999.999
OMEGA-850mb global ERA5,mbar/day,-0.311,999.999,999.999,29.704,999.999,999.999,999.999
T-850mb global ERA5,K,279.924,279.805,0.119,11.662,12.105,1.296,0.995
T-200mb global ERA5,K,220.464,218.965,1.499,2.862,2.972,3.167,0.543
TAUXY ocean ERA5,N/m^2,0.071,0.072,-0.001,0.05,0.049,0.026,0.866
LHFLX global MERRA2,W/m2,86.216,999.999,999.999,62.804,999.999,999.999,999.999
SHFLX global MERRA2,W/m2,18.783,999.999,999.999,23.448,999.999,999.999,999.999
PSL global MERRA2,mbar,1011.69,999.999,999.999,10.38,999.999,999.999,999.999
FSNS global MERRA2,W/m2,166.339,999.999,999.999,86.212,999.999,999.999,999.999
FLNS global MERRA2,W/m2,53.41,999.999,999.999,19.454,999.999,999.999,999.999
NET_FLUX_SRF global MERRA2,W/m2,7.056,999.999,999.999,93.76,999.999,999.999,999.999
PRECT global MERRA2,mm/day,2.975,999.999,999.999,2.697,999.999,999.999,999.999
TMQ global MERRA2,kg/m2,24.715,999.999,999.999,15.69,999.999,999.999,999.999
U-850mb global MERRA2,m/s,1.172,999.999,999.999,6.445,999.999,999.999,999.999
U-200mb global MERRA2,m/s,17.87,999.999,999.999,14.797,999.999,999.999,999.999
Z3-500mb global MERRA2,hectometer,56.457,999.999,999.999,2.76,999.999,999.999,999.999
OMEGA-200mb global MERRA2,mbar/day,0.194,999.999,999.999,16.145,999.999,999.999,999.999
OMEGA-500mb global MERRA2,mbar/day,-0.012,999.999,999.999,25.644,999.999,999.999,999.999
OMEGA-850mb global MERRA2,mbar/day,-0.311,999.999,999.999,29.704,999.999,999.999,999.999
T-850mb global MERRA2,K,279.924,999.999,999.999,11.662,999.999,999.999,999.999
T-200mb global MERRA2,K,220.464,999.999,999.999,2.862,999.999,999.999,999.999
TAUXY ocean MERRA2,N/m^2,0.071,999.999,999.999,0.05,999.999,999.999,999.999
CLDTOT_TAU1.3_ISCCP global ISCCPCOSP,%,47.813,999.999,999.999,22.12,999.999,999.999,999.999
CLDTOT_TAU1.3_9.4_ISCCP global ISCCPCOSP,%,23.019,999.999,999.999,9.672,999.999,999.999,999.999
CLDTOT_TAU9.4_ISCCP global ISCCPCOSP,%,24.794,999.999,999.999,15.442,999.999,999.999,999.999
CLDTOT_TAU1.3_MISR global MISRCOSP,%,47.813,999.999,999.999,22.12,999.999,999.999,999.999
CLDTOT_TAU1.3_9.4_MISR global MISRCOSP,%,23.019,999.999,999.999,9.672,999.999,999.999,999.999
CLDTOT_TAU9.4_MISR global MISRCOSP,%,24.794,999.999,999.999,15.442,999.999,999.999,999.999
CLDLOW_TAU1.3_MISR global MISRCOSP,%,29.555,999.999,999.999,21.096,999.999,999.999,999.999
CLDLOW_TAU1.3_9.4_MISR global MISRCOSP,%,15.617,999.999,999.999,11.244,999.999,999.999,999.999
CLDLOW_TAU9.4_MISR global MISRCOSP,%,13.938,999.999,999.999,11.485,999.999,999.999,999.999
CLDTOT_TAU1.3_MODIS global MODISCOSP,%,46.607,999.999,999.999,21.753,999.999,999.999,999.999
CLDTOT_TAU1.3_9.4_MODIS global MODISCOSP,%,22.134,999.999,999.999,9.273,999.999,999.999,999.999
CLDTOT_TAU9.4_MODIS global MODISCOSP,%,24.472,999.999,999.999,15.436,999.999,999.999,999.999
