Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v3.2,mm/day,2.961,2.786,0.175,2.276,2.199,1.233,0.852
PRECT global GPCP_v2.3,mm/day,2.961,2.664,0.296,2.243,2.08,1.181,0.863
TREFHT land_60S90N CRU,DegC,12.773,999.999,999.999,13.375,999.999,999.999,999.999
SST global HadISST,degC,20.039,999.999,999.999,8.939,999.999,999.999,999.999
SST global HadISST_CL,degC,20.039,19.313,0.725,8.939,9.48,1.234,0.991
SST global HadISST_PI,degC,20.039,999.999,999.999,8.939,999.999,999.999,999.999
SST global HadISST_PD,degC,20.039,999.999,999.999,8.939,999.999,999.999,999.999
SOLIN global ceres_ebaf_toa_v4.1,W/m2,338.283,338.181,0.101,100.528,101.354,1.989,1.0
ALBEDO 75S75N ceres_ebaf_toa_v4.1,dimensionless,0.313,0.307,0.005,0.113,0.119,0.037,0.951
ALBEDOC global ceres_ebaf_toa_v4.1,dimensionless,0.176,0.186,-0.01,0.131,0.14,0.035,0.971
RESTOM global ceres_ebaf_toa_v4.1,W/m2,1.775,1.384,0.391,71.442,72.011,9.888,0.991
FLUT global ceres_ebaf_toa_v4.1,W/m2,237.038,239.187,-2.148,30.936,31.037,8.914,0.961
FLUTC global ceres_ebaf_toa_v4.1,W/m2,263.018,265.331,-2.313,31.635,31.447,4.993,0.99
FSNTOA global ceres_ebaf_toa_v4.1,W/m2,238.692,240.57,-1.878,93.602,94.633,12.582,0.991
FSNTOAC global ceres_ebaf_toa_v4.1,W/m2,285.992,283.106,2.886,99.848,100.071,10.233,0.995
SWCF global ceres_ebaf_toa_v4.1,W/m2,-47.299,-42.536,-4.763,23.4,22.22,13.624,0.845
LWCF global ceres_ebaf_toa_v4.1,W/m2,25.98,26.144,-0.165,13.053,11.818,6.583,0.865
NETCF global ceres_ebaf_toa_v4.1,W/m2,-21.319,-16.391,-4.928,18.35,16.967,11.514,0.829
ALBEDO_SRF global ceres_ebaf_surface_v4.1,dimensionless,0.15,999.999,999.999,0.185,999.999,999.999,999.999
SWCFSRF global ceres_ebaf_surface_v4.1,W/m2,-50.781,999.999,999.999,25.427,999.999,999.999,999.999
LWCFSRF global ceres_ebaf_surface_v4.1,W/m2,25.945,999.999,999.999,17.636,999.999,999.999,999.999
NETCF_SRF global ceres_ebaf_surface_v4.1,W/m2,-24.835,999.999,999.999,24.756,999.999,999.999,999.999
FLDS global ceres_ebaf_surface_v4.1,W/m2,344.676,999.999,999.999,68.552,999.999,999.999,999.999
FLDSC global ceres_ebaf_surface_v4.1,W/m2,317.966,999.999,999.999,79.107,999.999,999.999,999.999
FLNS global ceres_ebaf_surface_v4.1,W/m2,54.44,999.999,999.999,19.548,999.999,999.999,999.999
FLNSC global ceres_ebaf_surface_v4.1,W/m2,80.385,999.999,999.999,16.406,999.999,999.999,999.999
FSDS global ceres_ebaf_surface_v4.1,W/m2,186.438,999.999,999.999,73.42,999.999,999.999,999.999
FSDSC global ceres_ebaf_surface_v4.1,W/m2,243.512,999.999,999.999,73.755,999.999,999.999,999.999
FSNS global ceres_ebaf_surface_v4.1,W/m2,162.086,999.999,999.999,72.385,999.999,999.999,999.999
FSNSC global ceres_ebaf_surface_v4.1,W/m2,212.867,999.999,999.999,78.43,999.999,999.999,999.999
LHFLX global OAFlux,W/m2,86.211,999.999,999.999,53.309,999.999,999.999,999.999
SHFLX global OAFlux,W/m2,20.431,999.999,999.999,18.905,999.999,999.999,999.999
LHFLX global ERA5,W/m2,86.211,82.625,3.585,53.309,50.558,16.019,0.956
SHFLX global ERA5,W/m2,20.431,17.632,2.799,18.905,19.185,9.287,0.892
PSL global ERA5,mbar,1011.594,1011.425,0.169,9.754,7.928,2.738,0.973
FSNS global ERA5,W/m2,162.086,163.425,-1.339,72.385,70.8,14.428,0.98
FLNS global ERA5,W/m2,54.44,58.715,-4.276,19.548,19.883,9.917,0.897
NET_FLUX_SRF global ERA5,W/m2,0.082,4.452,-4.37,46.379,45.403,23.053,0.879
PRECT global ERA5,mm/day,2.961,2.863,0.098,2.276,2.311,1.166,0.872
TMQ global ERA5,kg/m2,25.879,24.008,1.87,15.73,15.321,3.516,0.982
QREFHT global ERA5_ext,g/kg,10.242,999.999,999.999,5.99,999.999,999.999,999.999
U10 global ERA5_ext,m/s,6.282,999.999,999.999,2.509,999.999,999.999,999.999
U-850mb global ERA5,m/s,1.16,0.954,0.206,6.226,5.458,1.56,0.972
U-200mb global ERA5,m/s,18.669,17.015,1.654,12.141,11.975,4.601,0.937
Z3-500mb global ERA5,hectometer,56.652,56.565,0.087,2.748,2.6,0.282,0.996
OMEGA-200mb global ERA5,mbar/day,0.201,999.999,999.999,11.598,999.999,999.999,999.999
OMEGA-500mb global ERA5,mbar/day,-0.014,999.999,999.999,20.568,999.999,999.999,999.999
OMEGA-850mb global ERA5,mbar/day,-0.466,999.999,999.999,28.025,999.999,999.999,999.999
