Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v3.2,mm/day,2.963,2.806,0.157,2.59,2.374,1.366,0.854
PRECT global GPCP_v2.3,mm/day,2.963,2.682,0.281,2.545,2.213,1.324,0.861
TREFHT land_60S90N CRU,DegC,14.499,999.999,999.999,12.077,999.999,999.999,999.999
SST global HadISST,degC,19.97,999.999,999.999,8.427,999.999,999.999,999.999
SST global HadISST_CL,degC,19.97,19.31,0.66,8.427,9.145,1.1,0.992
SST global HadISST_PI,degC,19.97,999.999,999.999,8.427,999.999,999.999,999.999
SST global HadISST_PD,degC,19.97,999.999,999.999,8.427,999.999,999.999,999.999
SOLIN global ceres_ebaf_toa_v4.1,W/m2,342.197,342.243,-0.046,100.091,100.819,1.782,1.0
ALBEDO 75S75N ceres_ebaf_toa_v4.1,dimensionless,0.311,0.307,0.004,0.11,0.116,0.036,0.95
ALBEDOC global ceres_ebaf_toa_v4.1,dimensionless,0.171,0.177,-0.006,0.131,0.13,0.028,0.978
RESTOM global ceres_ebaf_toa_v4.1,W/m2,1.097,1.863,-0.766,72.922,73.739,11.67,0.987
FLUT global ceres_ebaf_toa_v4.1,W/m2,239.654,240.435,-0.781,31.115,31.421,7.846,0.969
FLUTC global ceres_ebaf_toa_v4.1,W/m2,264.392,266.174,-1.782,30.286,30.133,4.402,0.991
FSNTOA global ceres_ebaf_toa_v4.1,W/m2,240.63,242.298,-1.668,93.086,95.215,13.625,0.99
FSNTOAC global ceres_ebaf_toa_v4.1,W/m2,290.682,288.774,1.908,104.992,104.271,7.602,0.998
SWCF global ceres_ebaf_toa_v4.1,W/m2,-50.052,-46.476,-3.576,27.734,25.954,14.61,0.863
LWCF global ceres_ebaf_toa_v4.1,W/m2,24.738,25.739,-1.001,13.794,12.355,6.448,0.887
NETCF global ceres_ebaf_toa_v4.1,W/m2,-25.314,-20.737,-4.577,23.253,21.698,12.963,0.857
ALBEDO_SRF global ceres_ebaf_surface_v4.1,dimensionless,0.141,999.999,999.999,0.175,999.999,999.999,999.999
SWCFSRF global ceres_ebaf_surface_v4.1,W/m2,-53.967,999.999,999.999,30.49,999.999,999.999,999.999
LWCFSRF global ceres_ebaf_surface_v4.1,W/m2,26.954,999.999,999.999,17.98,999.999,999.999,999.999
NETCF_SRF global ceres_ebaf_surface_v4.1,W/m2,-27.012,999.999,999.999,27.956,999.999,999.999,999.999
FLDS global ceres_ebaf_surface_v4.1,W/m2,345.855,999.999,999.999,65.715,999.999,999.999,999.999
FLDSC global ceres_ebaf_surface_v4.1,W/m2,318.131,999.999,999.999,75.939,999.999,999.999,999.999
FLNS global ceres_ebaf_surface_v4.1,W/m2,54.803,999.999,999.999,20.679,999.999,999.999,999.999
FLNSC global ceres_ebaf_surface_v4.1,W/m2,81.757,999.999,999.999,16.217,999.999,999.999,999.999
FSDS global ceres_ebaf_surface_v4.1,W/m2,188.04,999.999,999.999,69.526,999.999,999.999,999.999
FSDSC global ceres_ebaf_surface_v4.1,W/m2,247.586,999.999,999.999,74.68,999.999,999.999,999.999
FSNS global ceres_ebaf_surface_v4.1,W/m2,163.916,999.999,999.999,71.666,999.999,999.999,999.999
FSNSC global ceres_ebaf_surface_v4.1,W/m2,217.883,999.999,999.999,84.128,999.999,999.999,999.999
LHFLX global OAFlux,W/m2,84.925,999.999,999.999,54.08,999.999,999.999,999.999
SHFLX global OAFlux,W/m2,19.531,999.999,999.999,19.945,999.999,999.999,999.999
LHFLX global ERA5,W/m2,84.925,82.224,2.701,54.08,51.112,17.431,0.948
SHFLX global ERA5,W/m2,19.531,15.939,3.592,19.945,18.869,8.651,0.919
PSL global ERA5,mbar,1011.447,1011.355,0.092,10.872,8.752,3.076,0.974
FSNS global ERA5,W/m2,163.916,165.616,-1.7,71.666,71.898,14.735,0.979
FLNS global ERA5,W/m2,54.803,57.822,-3.019,20.679,18.769,9.141,0.909
NET_FLUX_SRF global ERA5,W/m2,3.955,9.631,-5.676,47.881,48.333,26.65,0.854
PRECT global ERA5,mm/day,2.963,2.9,0.063,2.59,2.503,1.25,0.88
TMQ global ERA5,kg/m2,25.704,23.841,1.863,15.41,14.923,3.3,0.984
QREFHT global ERA5_ext,g/kg,10.15,999.999,999.999,5.661,999.999,999.999,999.999
U10 global ERA5_ext,m/s,6.328,999.999,999.999,2.486,999.999,999.999,999.999
U-850mb global ERA5,m/s,1.304,1.141,0.164,6.359,5.603,1.512,0.975
U-200mb global ERA5,m/s,17.053,15.675,1.378,13.043,13.057,3.357,0.972
Z3-500mb global ERA5,hectometer,56.712,56.577,0.134,2.84,2.676,0.299,0.997
