Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v3.2,mm/day,3.052,2.811,0.241,2.047,2.066,1.015,0.885
PRECT global GPCP_v2.3,mm/day,3.052,2.689,0.363,2.013,1.938,0.977,0.895
TREFHT land_60S90N CRU,DegC,13.904,999.999,999.999,12.164,999.999,999.999,999.999
SST global HadISST,degC,20.556,999.999,999.999,8.172,999.999,999.999,999.999
SST global HadISST_CL,degC,20.556,18.783,1.773,8.172,9.477,1.174,0.993
SST global HadISST_PI,degC,20.556,999.999,999.999,8.172,999.999,999.999,999.999
SST global HadISST_PD,degC,20.556,999.999,999.999,8.172,999.999,999.999,999.999
SOLIN global ceres_ebaf_toa_v4.1,W/m2,340.292,340.272,0.02,72.714,72.726,0.446,1.0
ALBEDO 75S75N ceres_ebaf_toa_v4.1,dimensionless,0.307,0.303,0.004,0.092,0.106,0.032,0.96
ALBEDOC global ceres_ebaf_toa_v4.1,dimensionless,0.163,0.176,-0.013,0.114,0.122,0.028,0.981
RESTOM global ceres_ebaf_toa_v4.1,W/m2,0.619,0.83,-0.21,53.466,56.055,8.791,0.988
FLUT global ceres_ebaf_toa_v4.1,W/m2,238.54,240.236,-1.696,27.905,29.771,6.006,0.982
FLUTC global ceres_ebaf_toa_v4.1,W/m2,264.506,266.106,-1.6,28.757,29.815,3.694,0.994
FSNTOA global ceres_ebaf_toa_v4.1,W/m2,239.047,241.066,-2.019,76.008,80.143,10.788,0.992
FSNTOAC global ceres_ebaf_toa_v4.1,W/m2,290.493,286.441,4.052,81.965,82.771,7.351,0.997
SWCF global ceres_ebaf_toa_v4.1,W/m2,-51.446,-45.375,-6.071,21.016,20.353,12.345,0.865
LWCF global ceres_ebaf_toa_v4.1,W/m2,25.966,25.87,0.096,11.523,11.116,4.506,0.921
NETCF global ceres_ebaf_toa_v4.1,W/m2,-25.481,-19.505,-5.976,14.796,15.158,11.243,0.798
ALBEDO_SRF global ceres_ebaf_surface_v4.1,dimensionless,0.139,999.999,999.999,0.16,999.999,999.999,999.999
SWCFSRF global ceres_ebaf_surface_v4.1,W/m2,-55.043,999.999,999.999,22.242,999.999,999.999,999.999
LWCFSRF global ceres_ebaf_surface_v4.1,W/m2,27.501,999.999,999.999,17.118,999.999,999.999,999.999
NETCF_SRF global ceres_ebaf_surface_v4.1,W/m2,-27.542,999.999,999.999,21.546,999.999,999.999,999.999
FLDS global ceres_ebaf_surface_v4.1,W/m2,350.707,999.999,999.999,64.778,999.999,999.999,999.999
FLDSC global ceres_ebaf_surface_v4.1,W/m2,321.88,999.999,999.999,75.414,999.999,999.999,999.999
FLNS global ceres_ebaf_surface_v4.1,W/m2,52.151,999.999,999.999,18.285,999.999,999.999,999.999
FLNSC global ceres_ebaf_surface_v4.1,W/m2,79.653,999.999,999.999,15.249,999.999,999.999,999.999
FSDS global ceres_ebaf_surface_v4.1,W/m2,184.602,999.999,999.999,55.002,999.999,999.999,999.999
FSDSC global ceres_ebaf_surface_v4.1,W/m2,245.592,999.999,999.999,51.034,999.999,999.999,999.999
FSNS global ceres_ebaf_surface_v4.1,W/m2,161.776,999.999,999.999,58.915,999.999,999.999,999.999
FSNSC global ceres_ebaf_surface_v4.1,W/m2,216.819,999.999,999.999,64.374,999.999,999.999,999.999
LHFLX global OAFlux,W/m2,88.313,999.999,999.999,52.37,999.999,999.999,999.999
SHFLX global OAFlux,W/m2,19.979,999.999,999.999,16.446,999.999,999.999,999.999
LHFLX global ERA5,W/m2,88.313,83.333,4.979,52.37,49.998,15.239,0.961
SHFLX global ERA5,W/m2,19.979,16.662,3.317,16.446,16.912,8.008,0.905
PSL global ERA5,mbar,1011.616,1011.396,0.22,9.549,8.027,2.378,0.979
FSNS global ERA5,W/m2,161.776,163.692,-1.916,58.915,60.052,10.908,0.984
FLNS global ERA5,W/m2,52.151,57.794,-5.643,18.285,17.913,9.079,0.923
NET_FLUX_SRF global ERA5,W/m2,0.599,5.903,-5.304,29.948,29.867,22.586,0.731
PRECT global ERA5,mm/day,3.052,2.909,0.143,2.047,2.185,0.941,0.905
TMQ global ERA5,kg/m2,27.217,24.145,3.071,15.266,14.343,3.878,0.989
QREFHT global ERA5_ext,g/kg,10.538,999.999,999.999,5.616,999.999,999.999,999.999
U10 global ERA5_ext,m/s,6.308,999.999,999.999,2.382,999.999,999.999,999.999
U-850mb global ERA5,m/s,1.203,1.058,0.145,5.859,5.434,1.117,0.983
U-200mb global ERA5,m/s,17.114,15.606,1.508,11.067,12.264,3.297,0.974
Z3-500mb global ERA5,hectometer,56.776,56.602,0.174,2.635,2.562,0.245,0.998
OMEGA-200mb global ERA5,mbar/day,0.207,999.999,999.999,10.523,999.999,999.999,999.999
OMEGA-500mb global ERA5,mbar/day,0.007,999.999,999.999,18.034,999.999,999.999,999.999
OMEGA-850mb global ERA5,mbar/day,-0.442,999.999,999.999,24.505,999.999,999.999,999.999
T-850mb global ERA5,K,281.747,281.121,0.626,9.764,11.047,0.955,0.996
T-200mb global ERA5,K,219.85,218.511,1.339,2.55,2.024,2.01,0.809
