Variables,Unit,Test_mean,Ref._mean,Mean_Bias,Test_STD,Ref._STD,RMSE,Correlation
PRECT global GPCP_v3.2,mm/day,3.025,2.794,0.231,2.616,2.543,1.352,0.867
PRECT global GPCP_v2.3,mm/day,3.025,2.698,0.326,2.577,2.38,1.281,0.878
TREFHT land_60S90N CRU,DegC,6.03,999.999,999.999,19.033,999.999,999.999,999.999
SST global HadISST,degC,20.412,999.999,999.999,8.334,999.999,999.999,999.999
SST global HadISST_CL,degC,20.412,19.11,1.303,8.334,9.243,1.256,0.992
SST global HadISST_PI,degC,20.412,999.999,999.999,8.334,999.999,999.999,999.999
SST global HadISST_PD,degC,20.412,999.999,999.999,8.334,999.999,999.999,999.999
SOLIN global ceres_ebaf_toa_v4.1,W/m2,350.529,350.509,0.02,147.307,146.718,1.049,1.0
ALBEDO 75S75N ceres_ebaf_toa_v4.1,dimensionless,0.326,0.325,0.001,0.115,0.134,0.043,0.952
ALBEDOC global ceres_ebaf_toa_v4.1,dimensionless,0.183,0.213,-0.03,0.143,0.279,0.213,0.674
RESTOM global ceres_ebaf_toa_v4.1,W/m2,7.708,7.892,-0.184,96.307,95.884,11.633,0.993
FLUT global ceres_ebaf_toa_v4.1,W/m2,236.501,237.351,-0.85,30.922,32.852,8.506,0.967
FLUTC global ceres_ebaf_toa_v4.1,W/m2,261.777,263.239,-1.462,32.032,32.781,4.677,0.991
FSNTOA global ceres_ebaf_toa_v4.1,W/m2,244.099,245.243,-1.144,115.84,117.226,14.581,0.992
FSNTOAC global ceres_ebaf_toa_v4.1,W/m2,299.038,294.544,4.495,140.063,138.189,10.62,0.998
SWCF global ceres_ebaf_toa_v4.1,W/m2,-54.94,-49.301,-5.639,37.813,37.074,14.434,0.937
LWCF global ceres_ebaf_toa_v4.1,W/m2,25.276,25.888,-0.612,15.428,14.481,6.621,0.905
NETCF global ceres_ebaf_toa_v4.1,W/m2,-29.664,-23.413,-6.25,32.112,33.285,12.608,0.945
ALBEDO_SRF global ceres_ebaf_surface_v4.1,dimensionless,0.164,999.999,999.999,0.199,999.999,999.999,999.999
SWCFSRF global ceres_ebaf_surface_v4.1,W/m2,-58.999,999.999,999.999,41.451,999.999,999.999,999.999
LWCFSRF global ceres_ebaf_surface_v4.1,W/m2,27.88,999.999,999.999,17.83,999.999,999.999,999.999
NETCF_SRF global ceres_ebaf_surface_v4.1,W/m2,-31.118,999.999,999.999,38.099,999.999,999.999,999.999
FLDS global ceres_ebaf_surface_v4.1,W/m2,342.328,999.999,999.999,75.387,999.999,999.999,999.999
FLDSC global ceres_ebaf_surface_v4.1,W/m2,313.879,999.999,999.999,83.401,999.999,999.999,999.999
FLNS global ceres_ebaf_surface_v4.1,W/m2,51.541,999.999,999.999,19.059,999.999,999.999,999.999
FLNSC global ceres_ebaf_surface_v4.1,W/m2,79.421,999.999,999.999,16.875,999.999,999.999,999.999
FSDS global ceres_ebaf_surface_v4.1,W/m2,190.656,999.999,999.999,90.015,999.999,999.999,999.999
FSDSC global ceres_ebaf_surface_v4.1,W/m2,255.464,999.999,999.999,111.828,999.999,999.999,999.999
FSNS global ceres_ebaf_surface_v4.1,W/m2,165.851,999.999,999.999,85.098,999.999,999.999,999.999
FSNSC global ceres_ebaf_surface_v4.1,W/m2,224.85,999.999,999.999,110.984,999.999,999.999,999.999
LHFLX global OAFlux,W/m2,87.693,999.999,999.999,62.904,999.999,999.999,999.999
SHFLX global OAFlux,W/m2,18.645,999.999,999.999,22.935,999.999,999.999,999.999
LHFLX global ERA5,W/m2,87.693,82.179,5.514,62.904,58.752,18.017,0.963
SHFLX global ERA5,W/m2,18.645,15.39,3.255,22.935,22.856,10.713,0.901
PSL global ERA5,mbar,1011.765,1011.548,0.217,10.132,8.614,2.436,0.979
FSNS global ERA5,W/m2,165.851,168.873,-3.022,85.098,85.462,15.451,0.984
FLNS global ERA5,W/m2,51.541,57.089,-5.548,19.059,18.481,10.253,0.895
NET_FLUX_SRF global ERA5,W/m2,7.145,14.215,-7.07,94.12,89.403,29.71,0.952
PRECT global ERA5,mm/day,3.025,2.886,0.139,2.616,2.655,1.246,0.89
